,PROP_TYPE,ADDRESS,CITY,ZIP,PRICE,LOCATION,SQFT,YR_BUILT,MLS#,LATITUDE,LONGITUDE,PARK_DIST,HOSPITAL_D,RAIL_DIST,BUS_COUNTS,FnB_COUNTS
18,Multi-Family,6148 S Eberhart Ave,Chicago,60637,139999,CHI - Woodlawn,2025.4227820372398,1914.0,11972934,41.7824883,-87.6135233,493,1511,418,56,6
23,Condo/Co-op,6237 S Greenwood Ave #1,Chicago,60637,154400,CHI - Woodlawn,1430.0,1898.0,11960138,41.7812416,-87.5991201,431,1119,763,53,8
24,Condo/Co-op,1131 E 61st St #3,Chicago,60637,189000,CHI - Woodlawn,2025.4227820372398,1920.0,11969232,41.7839904,-87.5984439,302,784,991,61,14
27,Townhouse,6200 S Ingleside Ave Unit 5C,Chicago,60637,324999,Ingleside Court,1400.0,2000.0,11936480,41.781982,-87.6031234,142,949,394,61,8
30,Multi-Family,6240 S Champlain Ave,Chicago,60637,449900,CHI - Woodlawn,2025.4227820372398,1910.0,11955469,41.7809654,-87.6098632,516,1375,457,59,7
31,Townhouse,6211 S Ellis Ave Unit B,Chicago,60637,674800,CHI - Woodlawn,2025.4227820372398,2022.0,11877796.0,41.7816544,-87.6007472,339,1012,603,58,9
32,Townhouse,6209 S Ellis Ave Unit E,Chicago,60637,689800,CHI - Woodlawn,2025.4227820372398,2022.0,11877783.0,41.7808797,-87.6010792,239,1121,538,54,7
33,Townhouse,6218 S Woodlawn Ave Unit D,Chicago,60637,735000,CHI - Woodlawn,2250.0,2023.0,11820419.0,41.7816887,-87.5966068,146,1183,1050,45,9
34,Townhouse,6218 S Woodlawn Ave Unit H,Chicago,60637,759000,CHI - Woodlawn,2300.0,2023.0,11820430,41.7816887,-87.5966068,146,1183,1050,45,9
35,Single Family Residential,6209 E S Ellis Ave,Chicago,60637,689800,CHI - Woodlawn,2025.4227820372398,2023.0,11954563.0,41.780876,-87.6010791,239,1121,538,53,7
36,Single Family Residential,6227 E S Ellis Ave,Chicago,60637,689800,CHI - Woodlawn,2025.4227820372398,2023.0,11954566.0,41.7814001,-87.6010919,285,1044,555,57,8
37,Multi-Family,6043 S Vernon Ave,Chicago,60637,889000,CHI - Woodlawn,2025.4227820372398,2023.0,11969916,41.7844734,-87.6141258,196,1423,668,54,2
38,Multi-Family,6235 S Ellis Ave,Chicago,60637,980000,CHI - Woodlawn,2025.4227820372398,1900.0,11933482,41.7812613,-87.6008319,294,1069,577,57,8
48,Single Family Residential,142 N Lotus Ave,Chicago,60644,229900,CHI - Austin,1155.0,1886.0,11926406,41.8835701,-87.7620435,625,1716,698,42,1
49,Single Family Residential,135 N Lotus Ave,Chicago,60644,198000,CHI - Austin,1200.0,1915.0,11920142,41.8833481,-87.7613432,659,1693,771,40,1
50,Multi-Family,321 N Long Ave,Chicago,60644,234900,CHI - Austin,2025.4227820372398,1890.0,11892546,41.8864607,-87.7599233,198,2178,560,32,0
51,Multi-Family,124 N Menard Ave,Chicago,60644,499000,CHI - Austin,2025.4227820372398,1964.0,11886773,41.8829628,-87.7701483,687,1775,785,44,5
52,Multi-Family,314 N Latrobe Ave,Chicago,60644,480000,CHI - Austin,2025.4227820372398,1907.0,11964735,41.8860959,-87.7568252,258,2217,260,29,0
