Unnamed: 0,PROP_TYPE,ADDRESS,CITY,ZIP,PRICE,LOCATION,SQFT,YR_BUILT,MLS#,LATITUDE,LONGITUDE,PARK_DIST,HOSPITAL_D,RAIL_DIST,BUS_COUNTS,FnB_COUNTS
0,Multi-Family,561 E Opp St,Wilmington,90744.0,299000.0,196 - East Wilmington,400.0,1871.0,SB23198550,33.7833026,-118.255513,374.0,4537.79049826575,7038.0,16.0,0.0
1,Vacant Land,0 Future Pl,Los Angeles,90065.0,199000.0,Mt Washington,3224.438915857605,1962.9763313609467,24-359539,34.101025,-118.231056,2687.0,3909.5050040208,2717.0,21.0,0.0
3,Vacant Land,8360 N UTICA Dr,Hollywood Hills,90046.0,77777.0,C03 - Sunset Strip - Hollywood Hills West,3224.438915857605,1962.9763313609467,SR24033678,34.10762,-118.372406,4479.0,4328.91717038342,3856.0,0.0,1.0
4,Vacant Land,0 Fenn St,Los Angeles,90031.0,25000.0,679 - Montecito Heights,3224.438915857605,1962.9763313609467,SR24032746,34.084489,-118.207177,1599.0,1804.16723254952,766.0,26.0,0.0
6,Vacant Land,3656 N The Paseo,Los Angeles,90065.0,49000.0,Glassell Park,3224.438915857605,1962.9763313609467,24-358439,34.1121233,-118.2305213,1713.0,3684.1258599544303,3241.0,13.0,1.0
7,Vacant Land,3636 N Paseo Dr,Los Angeles,90065.0,74000.0,Glassell Park,3224.438915857605,1962.9763313609467,24-358429,34.11324,-118.22919,1750.0,3723.18854460454,3213.0,14.0,1.0
9,Vacant Land,2335 Hillcrest Dr,Los Angeles,90016.0,249900.0,Mid Los Angeles,3224.438915857605,1962.9763313609467,24-358274,34.0353052,-118.3411041,2410.0,3546.04990997309,1619.0,21.0,6.0
10,Vacant Land,2241 Moss Ave,Glassell Park,90065.0,90000.0,623 - Glassel Park,3224.438915857605,1962.9763313609467,MB24029901,34.1093787,-118.2290018,1956.0,4041.3882859244704,2897.0,6.0,1.0
13,Mobile/Manufactured Home,1065 Lomita Blvd #351,Harbor City,90710.0,254900.0,124 - Harbor City,1440.0,1972.0,OC24029816,33.7988191,-118.2920644,3943.0,1400.86558716131,11049.0,7.0,0.0
15,Vacant Land,3743 Avenida Del Sol,Studio City,93430.0,174000.0,STUD - Studio City,3224.438915857605,1962.9763313609467,IV24030642,34.138323,-118.4093231,1343.0,5357.4478412035505,5195.0,7.0,4.0
16,Vacant Land,3419 Reynolds Ave,Los Angeles,90032.0,149000.0,El Sereno,3224.438915857605,1962.9763313609467,24-348131,34.0842819,-118.1964803,1879.0,2564.18963458302,1904.0,20.0,0.0
18,Vacant Land,3677 Loosmore St,Los Angeles,90065.0,48000.0,680 - Mount Washington,3224.438915857605,1962.9763313609467,WS24028505,34.098599,-118.221281,1820.0,3571.86810595262,1622.0,6.0,0.0
19,Vacant Land,3625 Mimosa Dr,Los Angeles,90065.0,299900.0,699 - Not Defined,3224.438915857605,1962.9763313609467,TR24024106,34.1157897,-118.2313065,1382.0,3344.68689743405,3614.0,16.0,1.0
21,Mobile/Manufactured Home,22516-A-23 NORMANDIE Unit A-23,Torrance,90502.0,174900.0,135 - South East Torrance - East,960.0,2000.0,PW24011563,33.821778,-118.297809,6104.0,4422.01110388714,10291.0,4.0,0.0
22,Vacant Land,1045 Andalusia Ave,Los Angeles,90065.0,80000.0,Mt Washington,3224.438915857605,1962.9763313609467,24-356285,34.0975899,-118.22006,1666.0,3412.78922344208,1488.0,6.0,0.0
24,Vacant Land,1020 N Gage Ave,City Terrace,90063.0,130000.0,CTER - City Terrace,3224.438915857605,1962.9763313609467,DW24027357,34.048291,-118.1846195,3104.0,1620.4075494268,2059.0,20.0,0.0
25,Vacant Land,1155 Stringer Ave,City Terrace,90063.0,150000.0,CTER - City Terrace,3224.438915857605,1962.9763313609467,DW24027320,34.0505523,-118.184847,3143.0,1909.07367764717,2331.0,21.0,0.0
26,Vacant Land,1401 Cliff Dr,Los Angeles,90065.0,165000.0,680 - Mount Washington,3224.438915857605,1962.9763313609467,MB24026718,34.0993386,-118.2269063,2454.0,3843.8235240545296,2230.0,16.0,0.0
27,Vacant Land,3960 N Elderbank Dr,Los Angeles,90031.0,109999.0,Montecito Heights,3224.438915857605,1962.9763313609467,24-355539,34.0931658,-118.1987399,828.0,3285.87366478415,1119.0,7.0,0.0
28,Vacant Land,3832 Lavell Dr,Los Angeles,90065.0,125000.0,623 - Glassel Park,3224.438915857605,1962.9763313609467,CV24026722,34.113986,-118.226221,1567.0,3957.3562740739903,3032.0,6.0,0.0
