,index,SALE TYPE,PROP_TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQFT,LOT,YR_BUILT,DAYS ON MARKET,PRICE_SQFT,HOA/MONTH,STATUS,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,PARK_DIST,HOSPITAL_D,RAIL_DIST,ESCHOOL,HSCHOOL,BUS_COUNTS,FnB_COUNTS
0,0,MLS Listing,Multi-Family,28 Paerdegat 9th St,Brooklyn,NY,11236.0,999000.0,6.0,3.0,Brooklyn,1820.9035045607297,2000.0,1965.0,235.0,548.6287425433871,0.0,Active,https://www.redfin.com/NY/Brooklyn/28-Paerdegat-9th-St-11236/home/40887993,BNYMLS,475108,N,Y,40.629509,-73.9058421,745.4395902856819,3802.3438262202,2554.0821236872,18.0,18.0,1.0,0.0
1,1,MLS Listing,Multi-Family,1326 E 85th St,Canarsie,NY,11236.0,780000.0,3.0,2.5,Canarsie,1820.9035045607297,2000.0,1955.0,157.0,428.3587779618038,0.0,Active,https://www.redfin.com/NY/Brooklyn/1326-E-85th-St-11236/home/40889396,OneKey® MLS as Distributed by MLS Grid,3504398,N,Y,40.6306772,-73.9020755,560.007047447664,3741.4024962532494,2343.90661301067,18.0,18.0,1.0,0.0
4,4,MLS Listing,Multi-Family,1429 E 86th St,Brooklyn,NY,11236.0,985000.0,5.0,3.5,Brooklyn,2400.0,2000.0,1960.0,536.0,410.4166666666667,0.0,Active,https://www.redfin.com/NY/Brooklyn/1429-E-86th-St-11236/home/40889779,BNYMLS,466364,N,Y,40.6297364,-73.8989535,229.367212632198,3990.0657727527905,2502.62683652118,18.0,18.0,1.0,0.0
5,5,MLS Listing,Multi-Family,10716 Avenue  J,Brooklyn,NY,11236.0,900500.0,4.0,2.0,Brooklyn,1820.9035045607297,2508.0,1960.0,258.0,494.53471737769786,0.0,Active,https://www.redfin.com/NY/Brooklyn/10716-Avenue-J-11236/home/40892423,BNYMLS,473699,N,Y,40.6468871,-73.8907758,1002.77312141783,2683.42316050709,1110.13481946686,18.0,18.0,4.0,0.0
6,6,MLS Listing,Multi-Family,9817 Flatlands Ave,Brooklyn,NY,11236.0,939000.0,7.0,3.0,Brooklyn,1820.9035045607297,1690.0,1957.223290965304,27.0,515.6780673155561,0.0,Active,https://www.redfin.com/NY/Brooklyn/9817-Flatlands-Ave-11236/home/40891148,BNYMLS,479391,N,Y,40.644771,-73.8994459,1390.36429580198,2076.58573303616,384.633694279796,18.0,18.0,5.0,2.0
7,7,MLS Listing,Multi-Family,964 E 102nd St,Brooklyn,NY,11236.0,999000.0,5.0,3.5,Brooklyn,2160.0,2000.0,1960.0,8.0,462.5,0.0,Active,https://www.redfin.com/NY/Brooklyn/964-E-102nd-St-11236/home/40891559,BNYMLS,479828,N,Y,40.6448284,-73.8958516,1258.18308370366,2367.01187382978,719.453971729382,18.0,18.0,4.0,3.0
8,8,MLS Listing,Multi-Family,1355 E 100th St,Brooklyn,NY,11236.0,820000.0,3.0,3.0,Brooklyn,1540.0,2000.0,1955.0,367.0,532.4675324675325,0.0,Active,https://www.redfin.com/NY/Brooklyn/1355-E-100th-St-11236/home/40895683,BNYMLS,466979,N,Y,40.6377971,-73.8897882,508.969941564514,3559.94958527844,1868.48162621877,18.0,18.0,4.0,7.0
9,9,MLS Listing,Multi-Family,10117 Flatlands Ave,Brooklyn,NY,11236.0,799000.0,4.0,3.0,Brooklyn,1400.0,2000.0,1955.0,12.0,570.7142857142857,0.0,Active,https://www.redfin.com/NY/Brooklyn/10117-Flatlands-Ave-11236/home/40891088,BNYMLS,479738,N,Y,40.6462082,-73.8974288,1107.62487364625,2103.85393836649,496.492724612538,18.0,18.0,6.0,2.0
10,10,MLS Listing,Multi-Family,1551 Remsen Ave,Brooklyn,NY,11236.0,768000.0,3.0,2.0,Brooklyn,1820.9035045607297,2000.0,1945.0,73.0,421.7686429162376,0.0,Active,https://www.redfin.com/NY/Brooklyn/1551-Remsen-Ave-11236/home/40894859,BNYMLS,478630,N,Y,40.6335706,-73.8981014,596.170849981096,3517.2155358366,1964.194963566,18.0,18.0,3.0,7.0
11,11,MLS Listing,Multi-Family,1437 East 99 St,Brooklyn,NY,11236.0,799000.0,3.0,3.0,Brooklyn,1820.9035045607297,2833.0,1957.223290965304,1.0,438.79315845061694,0.0,Active,https://www.redfin.com/NY/Brooklyn/1437-E-99th-St-11236/home/40896278,BNYMLS,479966,N,Y,40.6360007,-73.8889843,360.73894078441293,3811.47174755832,2119.86225541593,18.0,18.0,5.0,7.0
12,12,MLS Listing,Multi-Family,1321 E 85th St,Canarsie,NY,11236.0,879000.0,6.0,3.0,Canarsie,1540.0,2000.0,1955.0,167.0,570.7792207792207,0.0,Active,https://www.redfin.com/NY/Brooklyn/1321-E-85th-St-11236/home/40889351,OneKey® MLS as Distributed by MLS Grid,3501619,N,Y,40.6310242,-73.9016621,568.817363200094,3707.6105453463906,2292.96918267077,18.0,18.0,1.0,0.0
