community,population.density,median.age,Dominant Race,city
Albany Park,23217,37.1,White,Chicago
Andersonville,23278,39.3,White,Chicago
Archer Heights,10111,34.4,Hispanic or Latino,Chicago
Armour Square,15357,40.2,Asian,Chicago
Ashburn,9133,34.6,Hispanic or Latino,Chicago
Auburn Gresham,15858,39,Black,Chicago
Austin,18763,36.1,Black,Chicago
Avalon Park,7326,44.7,Black,Chicago
Avondale,17393,34.5,Hispanic or Latino,Chicago
Belmont Cragin,20664,34.9,Hispanic or Latino,Chicago
Beverly,8605,45.8,White,Chicago
Brainerd,12974,43.2,Black,Chicago
Bridgeport,28250,40.9,Asian,Chicago
Brighton Park,15944,32.7,Hispanic or Latino,Chicago
Bronzeville,20985,45.5,Black,Chicago
Bucktown,27360,32.4,White,Chicago
Burnside,6413,43.1,Black,Chicago
Canaryville,22938,40.9,White,Chicago
Chatham,10549,42.5,Black,Chicago
Chinatown,23625,39.4,Asian,Chicago
Clearing,14668,37.1,Hispanic or Latino,Chicago
Depaul,25898,30.2,White,Chicago
Douglas,9881,37.8,Black,Chicago
Dunning,12608,42.3,White,Chicago
East Garfield Park,15452,31.4,Black,Chicago
East Side,15004,34.8,Hispanic or Latino,Chicago
Edgewater,25281,37.5,White,Chicago
Edison Park,9942,45.5,White,Chicago
Englewood,13167,37.5,Black,Chicago
Forest Glen,4821,45,White,Chicago
Fuller Park,13407,33.1,White,Chicago
Gage Park,19361,32.2,Hispanic or Latino,Chicago
Garfield Ridge,12031,40,Hispanic or Latino,Chicago
Gold Coast,27380,41.3,White,Chicago
Grand Boulevard,21650,44.7,Black,Chicago
Greater Grand Crossing,11884,39.1,Black,Chicago
Greektown,25620,30.2,Asian,Chicago
Hegewisch,2800,38.7,Hispanic or Latino,Chicago
Hermosa,15488,37.8,Hispanic or Latino,Chicago
Humboldt Park,23679,34.2,Hispanic or Latino,Chicago
Hyde Park,16998,35.5,White,Chicago
Irving Park,15661,38.4,White,Chicago
Jefferson Park,11399,40.4,White,Chicago
Jeffery Manor,10903,39.1,Hispanic or Latino,Chicago
Kenwood,14458,41.5,Black,Chicago
Lawndale,16063,34.3,Hispanic or Latino,Chicago
Lincoln Park,23233,31.6,White,Chicago
Lincoln Square,6918,37,White,Chicago
Little Italy,23555,32.1,Black,Chicago
Logan Square,22844,33.3,White,Chicago
