PRICE,SQFT,house.age,PROP_TYPE,PARK_DIST,HOSPITAL_D,RAIL_DIST,BUS_COUNTS,FnB_COUNTS,neighborhood,population.density,median.age,dominant.race,city
139999,2025.422782,109,Multi-Family,493,1511,418,56,6,Woodlawn,15747,36.5,Black,Chicago
154400,1430,125,Condo/Co-op,431,1119,763,53,8,Woodlawn,15747,36.5,Black,Chicago
189000,2025.422782,103,Condo/Co-op,302,784,991,61,14,Woodlawn,15747,36.5,Black,Chicago
449900,2025.422782,113,Multi-Family,516,1375,457,59,7,Woodlawn,15747,36.5,Black,Chicago
674800,2025.422782,1,Townhouse,339,1012,603,58,9,Woodlawn,15747,36.5,Black,Chicago
689800,2025.422782,1,Townhouse,239,1121,538,54,7,Woodlawn,15747,36.5,Black,Chicago
735000,2250,0,Townhouse,146,1183,1050,45,9,Woodlawn,15747,36.5,Black,Chicago
759000,2300,0,Townhouse,146,1183,1050,45,9,Woodlawn,15747,36.5,Black,Chicago
689800,2025.422782,0,Single Family Residential,239,1121,538,53,7,Woodlawn,15747,36.5,Black,Chicago
689800,2025.422782,0,Single Family Residential,285,1044,555,57,8,Woodlawn,15747,36.5,Black,Chicago
889000,2025.422782,0,Multi-Family,196,1423,668,54,2,Woodlawn,15747,36.5,Black,Chicago
980000,2025.422782,123,Multi-Family,294,1069,577,57,8,Woodlawn,15747,36.5,Black,Chicago
205900,1700,133,Condo/Co-op,72,2058,1330,37,1,Woodlawn,15747,36.5,Black,Chicago
184900,1150,15,Condo/Co-op,322,2073,983,41,3,Woodlawn,15747,36.5,Black,Chicago
174900,650,68.46433862,Condo/Co-op,328,1516,1197,45,6,Woodlawn,15747,36.5,Black,Chicago
135000,1600,123,Condo/Co-op,213,2204,1527,41,2,Woodlawn,15747,36.5,Black,Chicago
212000,1200,113,Condo/Co-op,187,1837,2070,41,2,Woodlawn,15747,36.5,Black,Chicago
340000,2025.422782,115,Multi-Family,150,2257,1389,26,1,Woodlawn,15747,36.5,Black,Chicago
350000,2025.422782,133,Multi-Family,581,2122,933,44,4,Woodlawn,15747,36.5,Black,Chicago
262000,1350,68.46433862,Condo/Co-op,259,1833,1070,43,2,Woodlawn,15747,36.5,Black,Chicago
300000,2025.422782,133,Multi-Family,524,2094,923,43,4,Woodlawn,15747,36.5,Black,Chicago
399997,2025.422782,125,Multi-Family,591,2053,865,47,4,Woodlawn,15747,36.5,Black,Chicago
420000,2025.422782,99,Multi-Family,373,2165,1041,35,2,Woodlawn,15747,36.5,Black,Chicago
449900,2025.422782,130,Multi-Family,316,1908,910,48,5,Woodlawn,15747,36.5,Black,Chicago
789900,3000,-1,Single Family Residential,384,2119,996,39,2,Woodlawn,15747,36.5,Black,Chicago
710000,2025.422782,123,Multi-Family,121,1451,738,50,7,Woodlawn,15747,36.5,Black,Chicago
1250000,2025.422782,123,Multi-Family,201,2213,1525,40,2,Woodlawn,15747,36.5,Black,Chicago
990000,2025.422782,93,Multi-Family,201,1762,760,50,5,Woodlawn,15747,36.5,Black,Chicago
265000,2025.422782,120,Multi-Family,1020,1953,202,51,3,Woodlawn,15747,36.5,Black,Chicago
147900,1300,68.46433862,Single Family Residential,424,1770,585,48,4,Woodlawn,15747,36.5,Black,Chicago
