PRICE,SQFT,house.age,PROP_TYPE,PARK_DIST,HOSPITAL_D,RAIL_DIST,BUS_COUNTS,FnB_COUNTS,neighborhood,population.density,median.age,dominant.race,city
139999,2025.422782,109.0,Multi-Family,493.0,1511.0,418.0,56,6,Woodlawn,15747,36.5,Black,Chicago
154400,1430.0,125.0,Condo/Co-op,431.0,1119.0,763.0,53,8,Woodlawn,15747,36.5,Black,Chicago
189000,2025.422782,103.0,Condo/Co-op,302.0,784.0,991.0,61,14,Woodlawn,15747,36.5,Black,Chicago
449900,2025.422782,113.0,Multi-Family,516.0,1375.0,457.0,59,7,Woodlawn,15747,36.5,Black,Chicago
674800,2025.422782,1.0,Townhouse,339.0,1012.0,603.0,58,9,Woodlawn,15747,36.5,Black,Chicago
689800,2025.422782,1.0,Townhouse,239.0,1121.0,538.0,54,7,Woodlawn,15747,36.5,Black,Chicago
735000,2250.0,0.0,Townhouse,146.0,1183.0,1050.0,45,9,Woodlawn,15747,36.5,Black,Chicago
759000,2300.0,0.0,Townhouse,146.0,1183.0,1050.0,45,9,Woodlawn,15747,36.5,Black,Chicago
689800,2025.422782,0.0,Single Family Residential,239.0,1121.0,538.0,53,7,Woodlawn,15747,36.5,Black,Chicago
689800,2025.422782,0.0,Single Family Residential,285.0,1044.0,555.0,57,8,Woodlawn,15747,36.5,Black,Chicago
889000,2025.422782,0.0,Multi-Family,196.0,1423.0,668.0,54,2,Woodlawn,15747,36.5,Black,Chicago
980000,2025.422782,123.0,Multi-Family,294.0,1069.0,577.0,57,8,Woodlawn,15747,36.5,Black,Chicago
205900,1700.0,133.0,Condo/Co-op,72.0,2058.0,1330.0,37,1,Woodlawn,15747,36.5,Black,Chicago
184900,1150.0,15.0,Condo/Co-op,322.0,2073.0,983.0,41,3,Woodlawn,15747,36.5,Black,Chicago
174900,650.0,68.46433862,Condo/Co-op,328.0,1516.0,1197.0,45,6,Woodlawn,15747,36.5,Black,Chicago
135000,1600.0,123.0,Condo/Co-op,213.0,2204.0,1527.0,41,2,Woodlawn,15747,36.5,Black,Chicago
212000,1200.0,113.0,Condo/Co-op,187.0,1837.0,2070.0,41,2,Woodlawn,15747,36.5,Black,Chicago
340000,2025.422782,115.0,Multi-Family,150.0,2257.0,1389.0,26,1,Woodlawn,15747,36.5,Black,Chicago
350000,2025.422782,133.0,Multi-Family,581.0,2122.0,933.0,44,4,Woodlawn,15747,36.5,Black,Chicago
262000,1350.0,68.46433862,Condo/Co-op,259.0,1833.0,1070.0,43,2,Woodlawn,15747,36.5,Black,Chicago
300000,2025.422782,133.0,Multi-Family,524.0,2094.0,923.0,43,4,Woodlawn,15747,36.5,Black,Chicago
399997,2025.422782,125.0,Multi-Family,591.0,2053.0,865.0,47,4,Woodlawn,15747,36.5,Black,Chicago
420000,2025.422782,99.0,Multi-Family,373.0,2165.0,1041.0,35,2,Woodlawn,15747,36.5,Black,Chicago
449900,2025.422782,130.0,Multi-Family,316.0,1908.0,910.0,48,5,Woodlawn,15747,36.5,Black,Chicago
789900,3000.0,-1.0,Single Family Residential,384.0,2119.0,996.0,39,2,Woodlawn,15747,36.5,Black,Chicago
710000,2025.422782,123.0,Multi-Family,121.0,1451.0,738.0,50,7,Woodlawn,15747,36.5,Black,Chicago
1250000,2025.422782,123.0,Multi-Family,201.0,2213.0,1525.0,40,2,Woodlawn,15747,36.5,Black,Chicago
990000,2025.422782,93.0,Multi-Family,201.0,1762.0,760.0,50,5,Woodlawn,15747,36.5,Black,Chicago
265000,2025.422782,120.0,Multi-Family,1020.0,1953.0,202.0,51,3,Woodlawn,15747,36.5,Black,Chicago
147900,1300.0,68.46433862,Single Family Residential,424.0,1770.0,585.0,48,4,Woodlawn,15747,36.5,Black,Chicago
199000,2025.422782,133.0,Multi-Family,418.0,1539.0,297.0,57,6,Woodlawn,15747,36.5,Black,Chicago
259900,2025.422782,133.0,Multi-Family,609.0,1720.0,488.0,59,5,Woodlawn,15747,36.5,Black,Chicago
469000,1670.0,0.0,Single Family Residential,980.0,2007.0,583.0,52,5,Woodlawn,15747,36.5,Black,Chicago
629900,2025.422782,-1.0,Multi-Family,417.0,1503.0,301.0,58,7,Woodlawn,15747,36.5,Black,Chicago
599000,2025.422782,13.0,Multi-Family,841.0,1778.0,405.0,57,7,Woodlawn,15747,36.5,Black,Chicago
614000,2025.422782,-1.0,Multi-Family,743.0,1645.0,432.0,54,7,Woodlawn,15747,36.5,Black,Chicago
527900,2800.0,112.0,Single Family Residential,363.0,1493.0,242.0,54,5,Woodlawn,15747,36.5,Black,Chicago
175000,2050.0,68.46433862,Single Family Residential,1027.0,2407.0,1266.0,59,1,Woodlawn,15747,36.5,Black,Chicago
215000,2025.422782,56.0,Multi-Family,795.0,1969.0,713.0,57,5,Woodlawn,15747,36.5,Black,Chicago
347000,2025.422782,68.46433862,Multi-Family,1069.0,2470.0,1261.0,58,1,Woodlawn,15747,36.5,Black,Chicago
299800,2800.0,93.0,Single Family Residential,925.0,2025.0,804.0,53,5,Woodlawn,15747,36.5,Black,Chicago
299000,2025.422782,109.0,Multi-Family,1186.0,2331.0,1084.0,57,1,Woodlawn,15747,36.5,Black,Chicago
375000,2025.422782,113.0,Multi-Family,996.0,2400.0,1148.0,53,0,Woodlawn,15747,36.5,Black,Chicago
425000,2025.422782,-1.0,Single Family Residential,1044.0,2634.0,1386.0,64,0,Woodlawn,15747,36.5,Black,Chicago
499000,2700.0,2.0,Single Family Residential,741.0,1987.0,738.0,53,4,Woodlawn,15747,36.5,Black,Chicago
499000,2700.0,2.0,Single Family Residential,716.0,1902.0,647.0,56,5,Woodlawn,15747,36.5,Black,Chicago
229900,1155.0,137.0,Single Family Residential,625.0,1716.0,698.0,42,1,Austin,18763,36.1,Black,Chicago
198000,1200.0,108.0,Single Family Residential,659.0,1693.0,771.0,40,1,Austin,18763,36.1,Black,Chicago
234900,2025.422782,133.0,Multi-Family,198.0,2178.0,560.0,32,0,Austin,18763,36.1,Black,Chicago
499000,2025.422782,59.0,Multi-Family,687.0,1775.0,785.0,44,5,Austin,18763,36.1,Black,Chicago
480000,2025.422782,116.0,Multi-Family,258.0,2217.0,260.0,29,0,Austin,18763,36.1,Black,Chicago
349900,1.0,111.0,Single Family Residential,400.0,4388.0,2160.0,34,1,Austin,18763,36.1,Black,Chicago
495000,994.0,110.0,Single Family Residential,359.0,4331.0,2182.0,29,1,Austin,18763,36.1,Black,Chicago
371000,1882.0,68.46433862,Single Family Residential,462.0,4214.0,1971.0,47,4,Austin,18763,36.1,Black,Chicago
395000,1820.0,111.0,Single Family Residential,333.0,4340.0,2120.0,42,3,Austin,18763,36.1,Black,Chicago
899000,2025.422782,96.0,Multi-Family,629.0,3713.0,1444.0,42,3,Austin,18763,36.1,Black,Chicago
