PRICE,SQFT,age,PROP_TYPE,PARK_DIST,HOSPITAL_D,RAIL_DIST,BUS_COUNTS,FnB_COUNTS,population.density,median.age,dominant.race
475000,524,111,3,2006,1724.449234,699,24,0,17388,32.1,2
490000,748,99,3,4205,887.4825344,2315,20,0,17388,32.1,2
489000,1325,100,2,3506,1769.962363,2247,31,0,17388,32.1,2
109950,3224.438916,60.02366864,6,2945,1998.050701,2527,21,0,17388,32.1,2
599999,590,102,3,4499,183.4417502,2244,23,0,17388,32.1,2
185000,3224.438916,60.02366864,6,3574,2057.468599,2716,25,0,17388,32.1,2
624900,1608,109,2,2951,1847.671204,1702,39,0,17388,32.1,2
509000,1326,99,2,1327,1242.196569,1070,20,2,17388,32.1,2
615000,1088,103,2,2806,1582.010316,1137,27,0,17388,32.1,2
635000,782,122,3,291,473.7995502,626,19,1,17388,32.1,2
599999,1306,118,3,965,739.4293542,356,15,3,17388,32.1,2
699000,1694,102,3,752,1012.254654,518,31,6,17388,32.1,2
739000,1437,73,3,2456,1732.170402,545,30,0,17388,32.1,2
649000,1332,101,3,1510,864.0402288,1402,28,1,17388,32.1,2
650000,1918,105,2,1636,1739.571892,1280,21,2,17388,32.1,2
675000,1584,62,2,2689,1532.231921,262,23,0,17388,32.1,2
750000,2355,97,2,3653,1665.711703,2479,22,0,17388,32.1,2
889000,1464,99,2,1746,2047.882193,1548,16,1,17388,32.1,2
724999,1748,100,3,2505,1854.354278,2349,36,1,17388,32.1,2
749999,1600,109,2,1668,1287.07811,1183,25,1,17388,32.1,2
649000,2398,116,3,1169,1011.159783,635,10,3,17388,32.1,2
799999,1089,101,3,1962,1804.055443,658,27,0,17388,32.1,2
710000,1188,98,2,2130,1147.738938,2029,15,1,17388,32.1,2
749000,1160,65,3,2439,1650.986829,2286,20,1,17388,32.1,2
699989,1672,97,2,1165,868.8771842,1249,32,3,17388,32.1,2
689950,1536,99,2,3710,528.4197968,1170,16,0,17388,32.1,2
799900,1801,113,2,1990,1845.56898,640,27,0,17388,32.1,2
799999,2144,101,2,868,642.4325717,999,35,4,17388,32.1,2
799888,4046,60,2,1460,1171.147333,1220,22,1,17388,32.1,2
747000,2049,101,2,2646,1355.368466,1255,25,0,17388,32.1,2
799000,2118,118,2,642,833.8994047,389,33,6,17388,32.1,2
875000,2728,102,2,1869,1205.215749,1802,26,1,17388,32.1,2
890000,1394,120,3,1918,1486.747245,1137,24,0,17388,32.1,2
1050000,4048,98,2,1781,1270.759779,1683,17,1,17388,32.1,2
949000,3147,103,2,3018,1646.422668,1529,42,0,17388,32.1,2
935000,2073,101,2,3066,2318.21093,2307,37,1,17388,32.1,2
975000,3386,67,2,730,583.6235517,500,31,6,17388,32.1,2
1198000,2362,100,2,900,619.5976077,988,34,4,17388,32.1,2
1080000,2421,101,2,824,558.195631,610,32,3,17388,32.1,2
1060000,2822,0,2,6425,935.9222452,1718,40,0,17388,32.1,2
1190000,4104,112,3,2623,1676.633244,973,29,0,17388,32.1,2
1080000,2592,58,2,3068,1619.257329,1573,42,0,17388,32.1,2
1199000,5184,96,2,791,813.369036,866,37,5,17388,32.1,2
1150000,5168,94,2,2455,1958.639893,1849,22,1,17388,32.1,2
1300000,3741,122,2,407,798.3817592,476,31,6,17388,32.1,2
940000,2200,117,2,2243,1883.602128,727,30,0,17388,32.1,2
1100000,4180,61,2,1640,1002.859302,1631,24,1,17388,32.1,2
975000,3135,111,2,1206,661.6667279,1256,20,2,17388,32.1,2
1095000,3224.438916,60.02366864,6,1188,540.9417576,1169,24,2,17388,32.1,2
1199000,4076,100,2,2205,1717.56562,2043,18,1,17388,32.1,2
1099000,3465,116,2,382,285.1858614,364,28,7,17388,32.1,2
1200000,2840,103,2,2428,1550.612064,1224,27,0,17388,32.1,2
1200000,2478,110,2,1801,1156.50382,1685,20,1,17388,32.1,2
1150000,3524,100,2,3048,2329.022622,2301,39,1,17388,32.1,2
998800,2646,114,2,842,794.6101794,364,14,2,17388,32.1,2
1650000,4542,110,2,822,422.9913227,909,27,3,17388,32.1,2
1595000,3170,117,2,1251,1422.848075,1177,25,4,17388,32.1,2
1670000,5,113,2,2223,1751.965792,1259,27,1,17388,32.1,2
1595000,5033,98,2,405,537.4329602,591,26,5,17388,32.1,2
1590000,3224.438916,60.02366864,6,249,515.3746038,117,30,7,17388,32.1,2
549998,1044,86,3,1224,1792.773458,1006,8,0,22298,28.6,2
635000,1050,102,2,673,1642.715968,822,5,0,22298,28.6,2
499999,1020,97,3,1377,2236.578669,1398,5,0,22298,28.6,2
500000,766,98,3,273,1816.214192,764,12,2,22298,28.6,2
593900,1330,3,3,115,1178.576588,468,19,0,22298,28.6,2
515000,950,64,3,312,1266.193061,473,9,0,22298,28.6,2
637000,1300,3,3,999,2412.93038,1310,6,1,22298,28.6,2
649995,1178,45,3,251,2076.937897,831,26,3,22298,28.6,2
669900,1510,88,2,1630,3446.093553,1138,28,3,22298,28.6,2
649900,1320,75,2,1782,3543.123948,1898,33,9,22298,28.6,2
725000,1918,79,2,434,2160.020436,1173,26,3,22298,28.6,2
745000,1665,103,2,567,6328.415738,3608,34,3,22298,28.6,2
749000,1785,83,2,2174,4061.222883,1187,18,1,22298,28.6,2
749888,2280,17,3,596,2300.391274,903,8,2,22298,28.6,2
1140000,3282,2,2,1272,2303.634494,1039,24,3,22298,28.6,2
1199000,2446,1,2,278,1248.555671,466,10,0,22298,28.6,2
1200000,3216,101,2,1570,1334.656742,1250,16,4,7750,32.6,0
