PRICE,SQFT,house.age,PROP_TYPE,PARK_DIST,HOSPITAL_D,RAIL_DIST,BUS_COUNTS,FnB_COUNTS,neighborhood,population.density,median.age,dominant.race,city
499000,678,102,Single Family Residential,2141,2696.08022,596,33,2,Downtown,66111,38.2,White,Los Angeles City
399000,518,102,Single Family Residential,2142,2682.737765,581,32,2,Downtown,66111,38.2,White,Los Angeles City
545000,700,103,Single Family Residential,1170,3159.389413,918,38,2,Downtown,66111,38.2,White,Los Angeles City
349000,472,53,Condo/Co-op,951,540.8532384,1453,43,4,Downtown,66111,38.2,White,Los Angeles City
609900,756,128,Single Family Residential,1366,1321.823116,753,41,1,Downtown,66111,38.2,White,Los Angeles City
39995,3224.438916,60.023669,Vacant Land,1246,6558.130685,4300,30,8,Downtown,66111,38.2,White,Los Angeles City
329000,547,96,Condo/Co-op,1393,2743.772583,1254,43,3,Downtown,66111,38.2,White,Los Angeles City
409999,456,102,Single Family Residential,3332,2385.065785,789,32,0,Downtown,66111,38.2,White,Los Angeles City
415000,1176,115,Single Family Residential,881,1852.465332,838,33,1,Downtown,66111,38.2,White,Los Angeles City
629000,1085,52,Condo/Co-op,1374,533.7557602,945,50,4,Downtown,66111,38.2,White,Los Angeles City
599000,1220,108,Single Family Residential,756,2757.195382,2264,33,4,Downtown,66111,38.2,White,Los Angeles City
520000,1298,84,Single Family Residential,1910,5877.736204,3755,37,4,Downtown,66111,38.2,White,Los Angeles City
545000,1629,100,Multi-Family,2297,5722.332451,3582,39,3,Downtown,66111,38.2,White,Los Angeles City
650000,1502,101,Multi-Family,1999,2989.443392,877,38,3,Downtown,66111,38.2,White,Los Angeles City
640000,1205,124,Single Family Residential,1743,935.9104269,1010,54,1,Downtown,66111,38.2,White,Los Angeles City
575000,1300,116,Single Family Residential,681,3802.648091,1308,36,3,Downtown,66111,38.2,White,Los Angeles City
599999,1789,60,Multi-Family,1602,2678.443805,630,26,0,Downtown,66111,38.2,White,Los Angeles City
525000,1128,113,Single Family Residential,393,4013.000634,2015,30,1,Downtown,66111,38.2,White,Los Angeles City
599000,1126,102,Multi-Family,1309,2152.376912,1899,32,2,Downtown,66111,38.2,White,Los Angeles City
539900,2072,110,Multi-Family,905,3983.331651,2895,31,2,Downtown,66111,38.2,White,Los Angeles City
700000,1528,100,Multi-Family,1432,1060.105081,922,54,3,Downtown,66111,38.2,White,Los Angeles City
649000,1120,121,Single Family Residential,853,3399.52488,1283,34,2,Downtown,66111,38.2,White,Los Angeles City
799000,672,101,Single Family Residential,565,3504.404758,1883,34,5,Downtown,66111,38.2,White,Los Angeles City
825000,3146,101,Multi-Family,601,2075.40634,578,27,2,Downtown,66111,38.2,White,Los Angeles City
800000,3220,63,Multi-Family,692,3781.364149,1288,35,3,Downtown,66111,38.2,White,Los Angeles City
724999,1323,111,Single Family Residential,1666,5172.523645,3776,44,3,Downtown,66111,38.2,White,Los Angeles City
795000,1752,70,Multi-Family,1047,924.7440246,1341,44,15,Downtown,66111,38.2,White,Los Angeles City
825000,3300,99,Multi-Family,1984,2306.457426,1486,42,3,Downtown,66111,38.2,White,Los Angeles City
699999,1744,110,Multi-Family,1061,4012.942193,2850,41,2,Downtown,66111,38.2,White,Los Angeles City
690000,2283,118,Multi-Family,1935,1862.344644,1324,42,1,Downtown,66111,38.2,White,Los Angeles City
750000,2604,101,Multi-Family,1068,3538.491965,2383,44,2,Downtown,66111,38.2,White,Los Angeles City
650000,1072,115,Multi-Family,1729,1156.427343,1290,52,0,Downtown,66111,38.2,White,Los Angeles City
739900,2112,121,Multi-Family,501,3031.888808,2019,36,5,Downtown,66111,38.2,White,Los Angeles City
699999,1068,111,Single Family Residential,2360,5371.297769,3263,35,3,Downtown,66111,38.2,White,Los Angeles City
700000,1376,84,Multi-Family,873,5201.649093,3397,24,1,Downtown,66111,38.2,White,Los Angeles City
699000,1433,42,Condo/Co-op,1439,543.3577539,883,55,4,Downtown,66111,38.2,White,Los Angeles City
725000,1740,101,Multi-Family,1265,3645.357067,2598,41,2,Downtown,66111,38.2,White,Los Angeles City
720000,2240,88,Multi-Family,83,2639.088316,875,18,1,Downtown,66111,38.2,White,Los Angeles City
829000,1520,41,Single Family Residential,924,2507.34814,2054,29,3,Downtown,66111,38.2,White,Los Angeles City
819900,1686,111,Multi-Family,1271,6566.748808,4607,37,7,Downtown,66111,38.2,White,Los Angeles City
749000,1855,120,Multi-Family,1785,1559.664683,1406,43,0,Downtown,66111,38.2,White,Los Angeles City
800000,2400,100,Multi-Family,1374,3277.095898,2269,40,2,Downtown,66111,38.2,White,Los Angeles City
830000,2627,63,Multi-Family,603,3544.470185,2065,37,1,Downtown,66111,38.2,White,Los Angeles City
900000,1430,2,Single Family Residential,602,710.042813,1664,45,8,Downtown,66111,38.2,White,Los Angeles City
880000,1450,87,Multi-Family,625,380.9610371,1198,53,13,Downtown,66111,38.2,White,Los Angeles City
840000,4186,60,Multi-Family,1555,4677.222337,3327,38,1,Downtown,66111,38.2,White,Los Angeles City
