city,neighborhood,SQFT,house.age,PARK_DIST,HOSPITAL_D,RAIL_DIST,BUS_COUNTS,FnB_COUNTS,population.density,median.age,PROP_TYPE,dominant.race,average_PRICE
Chicago,Armour Square,1523.838923875,35.5625,224.3125,1936.875,837.25,39.3125,41.0625,15357.0,40.2,Condo/Co-op,Asian,433343.0
Chicago,Auburn Gresham,1740.4187792363637,94.15974603127273,511.8181818181818,4412.763636363637,3385.1454545454544,34.527272727272724,0.9454545454545454,15858.0,39.0,Single Family Residential,Black,254821.70909090908
Chicago,Austin,1810.6753148750001,90.59077821833334,494.96875,2820.7916666666665,1831.3020833333333,42.854166666666664,1.3125,18763.0,36.1,Multi-Family,Black,367839.5208333333
Chicago,Brighton Park,1896.9382256000001,113.946433862,587.7,5057.3,1703.9,40.2,3.5,15944.0,32.7,Multi-Family,Hispanic or Latino,344390.0
Chicago,Chatham,1669.548116506329,90.72649387164556,468.37974683544303,3989.493670886076,1644.9367088607594,32.81012658227848,2.2151898734177213,10549.0,42.5,Single Family Residential,Black,245564.3924050633
Chicago,Douglas,1512.628889882353,50.46219732235294,289.5882352941176,1770.7058823529412,1026.8235294117646,51.588235294117645,5.588235294117647,9881.0,37.8,Condo/Co-op,Black,326017.5882352941
Chicago,East Garfield Park,1988.9769396756758,85.86486486486487,434.43243243243245,1222.2432432432433,609.8108108108108,51.54054054054054,2.054054054054054,15452.0,31.4,Multi-Family,Black,334905.3243243243
Chicago,Englewood,1841.0912907575757,115.2381016509091,447.6363636363636,2321.409090909091,1593.7424242424242,39.43939393939394,1.121212121212121,13167.0,37.5,Multi-Family,Black,191651.5303030303
Chicago,Fuller Park,1624.2536692,104.39286772400001,421.7,2468.4,680.5,38.4,1.5,13407.0,33.1,Multi-Family,White,227610.0
Chicago,Grand Boulevard,1994.1002042432433,64.6978835972973,291.68918918918916,1444.4864864864865,697.472972972973,48.45945945945946,8.04054054054054,21650.0,44.7,Condo/Co-op,Black,464498.64864864864
Chicago,Greater Grand Crossing,1898.2937520652176,108.3447250973913,508.42391304347825,2599.391304347826,1681.554347826087,46.46739130434783,1.934782608695652,11884.0,39.1,Single Family Residential,Black,223534.77173913043
Chicago,Humboldt Park,1807.9247726666667,84.84411186634921,311.53968253968253,1622.095238095238,2294.1111111111113,40.25396825396825,6.349206349206349,23679.0,34.2,Single Family Residential,Hispanic or Latino,386550.77777777775
Chicago,Hyde Park,1741.6845564,91.87756311314287,142.34285714285716,1848.0285714285715,2723.7714285714287,41.0,33.05714285714286,16998.0,35.5,Condo/Co-op,White,326905.71428571426
Chicago,Kenwood,1703.7169095897436,52.869966083076925,183.10256410256412,2366.5384615384614,2512.230769230769,30.641025641025642,14.897435897435898,14458.0,41.5,Condo/Co-op,Black,370467.4358974359
Chicago,North Lawndale,1946.835537923077,109.56250712192308,242.5,1768.0,1019.9038461538462,45.88461538461539,2.019230769230769,15844.0,34.9,Multi-Family,Black,332507.6346153846
Chicago,Oakland,1911.527304,29.561239605714288,242.42857142857142,2801.4285714285716,1720.0,34.285714285714285,5.285714285714286,20547.0,39.3,Condo/Co-op,Black,453114.28571428574
Chicago,Rogers Park,1484.1454780000001,74.18751322642858,273.64285714285717,3635.285714285714,768.6428571428571,30.535714285714285,18.428571428571427,20211.0,45.8,Condo/Co-op,White,290645.35714285716
Chicago,Roseland,1630.587085614679,93.14417164183486,594.6146788990826,1872.9449541284403,3257.6146788990827,27.38532110091743,1.165137614678899,10478.0,42.8,Single Family Residential,Black,199210.2385321101
Chicago,South Chicago,1505.7371303333332,93.41072310333334,586.1666666666666,943.8333333333334,5229.5,45.666666666666664,1.8333333333333333,13962.0,42.0,Single Family Residential,Black,225966.5
Chicago,South Deering,1108.0,75.0,174.5,1608.0,5552.5,22.0,3.0,11426.0,41.0,Townhouse,Black,167499.5
