PRICE,SQFT,house.age,PROP_TYPE,PARK_DIST,HOSPITAL_D,RAIL_DIST,BUS_COUNTS,FnB_COUNTS,neighborhood,population.density,median.age,dominant.race,city
1299000,1829.844584,93,Multi-Family,1263.640093,515.0363265,811.183342,15,2,Brownsville,35804,41,Black,New York City
500000,1152,36,Single Family Residential,1099.850227,1500.729108,269.7846072,16,0,Brownsville,35804,41,Black,New York City
500000,1152,36,Single Family Residential,1099.850227,1500.729108,269.7846072,16,0,Brownsville,35804,41,Black,New York City
999995,1829.844584,93,Multi-Family,926.8354804,588.2377655,500.6974593,16,1,Brownsville,35804,41,Black,New York City
715000,1144,18,Multi-Family,444.4268137,978.6431717,193.7127052,10,3,Brownsville,35804,41,Black,New York City
1100000,1829.844584,18,Multi-Family,417.9133315,971.7495787,234.1294296,10,3,Brownsville,35804,41,Black,New York City
1099000,1829.844584,93,Multi-Family,906.640243,401.4400053,663.5888656,11,1,Brownsville,35804,41,Black,New York City
950000,1829.844584,18,Multi-Family,385.8359276,929.4675327,353.3380645,10,2,Brownsville,35804,41,Black,New York City
749000,1829.844584,93,Multi-Family,711.7049026,1341.852386,310.0576157,9,2,Brownsville,35804,41,Black,New York City
799000,2272,93,Multi-Family,675.7577083,1485.402745,437.1976427,11,3,Brownsville,35804,41,Black,New York City
499000,1829.844584,36,Single Family Residential,564.1222583,1870.526172,763.0035167,23,6,Brownsville,35804,41,Black,New York City
569995,1829.844584,36,Single Family Residential,630.9058582,1993.629119,852.5016159,21,5,Brownsville,35804,41,Black,New York City
699000,1829.844584,93,Single Family Residential,368.0709971,1223.388752,258.9341461,13,3,Brownsville,35804,41,Black,New York City
880000,1829.844584,18,Multi-Family,84.8776648,1425.714079,552.3864266,21,5,Brownsville,35804,41,Black,New York City
1200000,1829.844584,113,Multi-Family,445.1834735,845.9388833,452.8645274,15,2,Brownsville,35804,41,Black,New York City
1250000,1829.844584,93,Multi-Family,979.7396326,313.1593248,801.0019543,11,0,Brownsville,35804,41,Black,New York City
1149000,1829.844584,0,Multi-Family,286.1299087,1005.625788,352.9544434,16,2,Brownsville,35804,41,Black,New York City
1100000,2814,16,Multi-Family,611.2822663,2105.409452,831.5991424,24,4,Brownsville,35804,41,Black,New York City
1400000,2814,16,Multi-Family,626.8864582,2118.328431,816.9391072,24,4,Brownsville,35804,41,Black,New York City
575000,1829.844584,37,Townhouse,1049.639405,611.6122445,795.5152374,14,0,Brownsville,35804,41,Black,New York City
1493000,1829.844584,21,Multi-Family,813.3827284,2267.720759,647.0215542,20,5,Brownsville,35804,41,Black,New York City
689000,1800,36,Single Family Residential,1084.246503,658.7989039,818.7889216,13,0,Brownsville,35804,41,Black,New York City
399985,1148,36,Townhouse,1098.596596,654.0464354,833.5873986,13,0,Brownsville,35804,41,Black,New York City
795995,1829.844584,124,Multi-Family,1127.246109,869.3341697,709.6755407,13,0,Brownsville,35804,41,Black,New York City
1350000,1829.844584,93,Multi-Family,1234.547517,834.1220484,758.7257563,10,0,Brownsville,35804,41,Black,New York City
615000,1829.844584,37,Single Family Residential,1109.523582,1465.638163,365.8573257,16,0,Brownsville,35804,41,Black,New York City
