SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,PARK_DIST,HOSPITAL_D,RAIL_DIST,ESCHOOL,HSCHOOL,BUS_COUNTS,FnB_COUNTS
MLS Listing,,Multi-Family (2-4 Unit),12251 S Lowe Ave,Chicago,IL,60628,150000,4.0,2.0,CHI - West Pullman,,3075,1890,4,,0.00,Active,,,https://www.redfin.com/IL/Chicago/12251-S-Lowe-Ave-60628/home/13056684,MRED as Distributed by MLS Grid,11971272,N,Y,41.670989500000000,-87.637761800000000,26,3468,7804,METCALFE,FENGER HS,14,1
MLS Listing,,Single Family Residential,12247 S Wallace St,Chicago,IL,60628,47000,4.0,2.0,CHI - West Pullman,1100.0,3075,1903,117,43.0,0.00,Active,,,https://www.redfin.com/IL/Chicago/12247-S-Wallace-St-60628/home/13057002,MRED as Distributed by MLS Grid,11889116,N,Y,41.670991700000000,-87.636608600000000,146,3417,7780,METCALFE,FENGER HS,12,1
MLS Listing,,Single Family Residential,12130 S Lowe Ave,Chicago,IL,60628,69999,4.0,2.0,CHI - West Pullman,2250.0,0,1900,68,31.0,0.00,Active,,,https://www.redfin.com/IL/Chicago/12130-S-Lowe-Ave-60628/home/188744297,MRED as Distributed by MLS Grid,11938140.0,N,Y,41.673239700000000,-87.638399000000000,66,3197,7489,METCALFE,FENGER HS,24,1
MLS Listing,,Single Family Residential,503 W 125th St,Chicago,IL,60628,185000,4.0,2.0,CHI - West Pullman,1120.0,4613,1951,99,165.0,0.00,Active,,,https://www.redfin.com/IL/Chicago/503-W-125th-St-60628/home/13055708,MRED as Distributed by MLS Grid,11919204,N,Y,41.666739000000000,-87.634543900000000,137,3944,8371,METCALFE,FENGER HS,13,0
MLS Listing,,Single Family Residential,12022 S Wentworth Ave,Chicago,IL,60628,189900,5.0,2.0,CHI - West Pullman,,3689,0,99,,0.00,Active,,,https://www.redfin.com/IL/Chicago/12022-S-Wentworth-Ave-60628/home/13056634,MRED as Distributed by MLS Grid,11919207,N,Y,41.675471300000000,-87.627680900000000,397,2515,7002,METCALFE,FENGER HS,20,0
MLS Listing,,Single Family Residential,12423 S Normal Ave,Chicago,IL,60628,170000,4.0,2.0,CHI - West Pullman,1077.0,3125,1963,111,158.0,0.00,Active,,,https://www.redfin.com/IL/Chicago/12423-S-Normal-Ave-60628/home/12710693,MRED as Distributed by MLS Grid,11910192,N,Y,41.668073300000000,-87.634107900000000,122,3739,8167,METCALFE,FENGER HS,10,1
MLS Listing,,Single Family Residential,12229 S Harvard Ave,Chicago,IL,60628,135000,4.0,2.0,CHI - West Pullman,2072.0,3125,1913,61,65.0,0.00,Active,,,https://www.redfin.com/IL/Chicago/12229-S-Harvard-Ave-60628/home/185258129,MRED as Distributed by MLS Grid,11942427,N,Y,41.671601100000000,-87.630611300000000,147,3137,7601,METCALFE,FENGER HS,4,0
MLS Listing,,Single Family Residential,12049 S Normal Ave,Chicago,IL,60628,179000,5.0,2.0,CHI - West Pullman,1522.0,3998,1890,30,118.0,0.00,Active,,,https://www.redfin.com/IL/Chicago/12049-S-Normal-Ave-60628/home/13058879,MRED as Distributed by MLS Grid,11926791,N,Y,41.674664900000000,-87.634360700000000,561,2816,7199,METCALFE,FENGER HS,22,1
MLS Listing,,Single Family Residential,12338 S Emerald Ave,Chicago,IL,60628,110000,3.0,1.0,CHI - West Pullman,972.0,25000,1928,158,113.0,0.00,Active,,,https://www.redfin.com/IL/Chicago/12338-S-Emerald-Ave-60628/home/13057619,MRED as Distributed by MLS Grid,11872484,N,Y,41.669356300000000,-87.640711900000000,320,3829,8110,METCALFE,FENGER HS,17,1
MLS Listing,,Single Family Residential,12446 S Eggleston Ave,Chicago,IL,60628,160000,3.0,1.5,CHI - West Pullman,1167.0,3075,1953,37,137.0,0.00,Active,,,https://www.redfin.com/IL/Chicago/12446-S-Eggleston-Ave-60628/home/13055737,MRED as Distributed by MLS Grid,11952683,N,Y,41.667377800000000,-87.633425800000000,220,3820,8260,METCALFE,FENGER HS,9,0
MLS Listing,,Single Family Residential,12017 S Union Ave,Chicago,IL,60628,165000,3.0,1.0,CHI - West Pullman,1100.0,10890,1896,505,150.0,0.00,Active,,,https://www.redfin.com/IL/Chicago/12017-S-Union-Ave-60628/home/13058784,MRED as Distributed by MLS Grid,11631415,N,Y,41.675475200000000,-87.639247100000000,108,2955,7185,METCALFE,FENGER HS,28,1
MLS Listing,,Single Family Residential,12215 S Eggleston Ave,Chicago,IL,60628,148999,5.0,2.0,CHI - West Pullman,998.0,3034,1926,190,149.0,0.00,Active,,,https://www.redfin.com/IL/Chicago/12215-S-Eggleston-Ave-60628/home/13057451,MRED as Distributed by MLS Grid,11831716,N,Y,41.671922600000000,-87.633001700000000,198,3154,7582,METCALFE,FENGER HS,11,1
MLS Listing,,Single Family Residential,11926 S Princeton Ave,Chicago,IL,60628,140000,3.0,1.0,CHI - West Pullman,960.0,0,1923,273,146.0,0.00,Active,,,https://www.redfin.com/IL/Chicago/11926-S-Princeton-Ave-60628/home/13057353,MRED as Distributed by MLS Grid,11767241,N,Y,41.677117600000000,-87.630148600000000,390,2323,6778,METCALFE,FENGER HS,14,0
MLS Listing,,Single Family Residential,440 W 127th St,Chicago,IL,60628,239995,4.0,2.0,CHI - West Pullman,2400.0,4512,1959,31,100.0,0.00,Active,,,https://www.redfin.com/IL/Chicago/440-W-127th-St-60628/home/13055832,MRED as Distributed by MLS Grid,11955660,N,Y,41.663563400000000,-87.633425800000000,86,4373,8825,METCALFE,FENGER HS,8,0
MLS Listing,,Single Family Residential,11916 S Lowe Ave,Chicago,IL,60628,264000,4.0,3.0,CHI - West Pullman,2000.0,3075,1897,248,132.0,0.00,Active,,,https://www.redfin.com/IL/Chicago/11916-S-Lowe-Ave-60628/home/13058448,MRED as Distributed by MLS Grid,11796888,N,Y,41.677319000000000,-87.638543600000000,273,2683,6899,METCALFE,FENGER HS,29,2
MLS Listing,,Single Family Residential,12048 S Lowe Ave,Chicago,IL,60628,235000,4.0,2.0,CHI - West Pullman,2200.0,10890,1905,95,107.0,0.00,Active,,,https://www.redfin.com/IL/Chicago/12048-S-Lowe-Ave-60628/home/13059724,MRED as Distributed by MLS Grid,11920164,N,Y,41.674640600000000,-87.638399000000000,125,3014,7285,METCALFE,FENGER HS,26,1
MLS Listing,,Single Family Residential,12406 S Lowe Ave,Chicago,IL,60628,271900,5.0,2.0,CHI - West Pullman,2700.0,4617,1952,13,101.0,0.00,Active,,,https://www.redfin.com/IL/Chicago/12406-S-Lowe-Ave-60628/home/12583238,MRED as Distributed by MLS Grid,11965550,N,Y,41.668489300000000,-87.638283400000000,112,3833,8180,METCALFE,FENGER HS,17,1
MLS Listing,,Vacant Land,6152 S Saint Lawrence Ave,Chicago,IL,60637,99000,,,CHI - Woodlawn,,3630,0,277,,0.00,Active,,,https://www.redfin.com/IL/Chicago/6152-S-Saint-Lawrence-Ave-60637/home/147833262,MRED as Distributed by MLS Grid,11774293.0,N,Y,41.782446700000000,-87.611193300000000,506,1312,595,FISKE,HYDE PARK,59,7
MLS Listing,,Multi-Family (2-4 Unit),6148 S Eberhart Ave,Chicago,IL,60637,139999,5.0,2.0,CHI - Woodlawn,,0,1914,2,,0.00,Active,,,https://www.redfin.com/IL/Chicago/6148-S-Eberhart-Ave-60637/home/180730410,MRED as Distributed by MLS Grid,11972934,N,Y,41.782488300000000,-87.613523300000000,493,1511,418,FISKE,HYDE PARK,56,6
MLS Listing,,Vacant Land,6046 S Eberhart Ave,Chicago,IL,60637,105000,,,CHI - Woodlawn,,6250,0,8,,0.00,Active,,,https://www.redfin.com/IL/Chicago/6046-S-Eberhart-Ave-60637/home/147728842,MRED as Distributed by MLS Grid,11968685,N,Y,41.784351000000000,-87.613587900000000,215,1376,667,FISKE,HYDE PARK,54,2
MLS Listing,,Vacant Land,6206 S Vernon Ave,Chicago,IL,60637,50000,,,CHI - Woodlawn,,3484,0,178,,0.00,Active,,,https://www.redfin.com/IL/Chicago/6206-S-Vernon-Ave-60637/home/13942789,MRED as Distributed by MLS Grid,11857115,N,Y,41.781761000000000,-87.614806000000000,599,1690,257,FISKE,HYDE PARK,48,3
MLS Listing,,Vacant Land,6242 S Eberhart Ave,Chicago,IL,60637,50000,,,CHI - Woodlawn,,3750,0,32,,0.00,Active,,,https://www.redfin.com/IL/Chicago/6242-S-Eberhart-Ave-60637/home/189063686,MRED as Distributed by MLS Grid,11950301,N,Y,41.780804000000000,-87.613566000000000,745,1672,242,FISKE,HYDE PARK,54,7
MLS Listing,,Vacant Land,6036 S Rhodes Ave,Chicago,IL,60637,84900,,,CHI - Woodlawn,,3125,0,21,,0.00,Active,,,https://www.redfin.com/IL/Chicago/6036-S-Rhodes-Ave-60637/home/13943738,MRED as Distributed by MLS Grid,11961351.0,N,Y,41.784603800000000,-87.612418800000000,181,1243,753,FISKE,HYDE PARK,55,3
MLS Listing,,Condo/Co-op,6237 S Greenwood Ave #1,Chicago,IL,60637,154400,2.0,1.5,CHI - Woodlawn,1430.0,0,1898,23,108.0,465.00,Active,,,https://www.redfin.com/IL/Chicago/6237-S-Greenwood-Ave-60637/unit-1/home/12761740,MRED as Distributed by MLS Grid,11960138,N,Y,41.781241600000000,-87.599120100000000,431,1119,763,FISKE,HYDE PARK,53,8
MLS Listing,,Condo/Co-op,1131 E 61st St #3,Chicago,IL,60637,189000,2.0,1.0,CHI - Woodlawn,,0,1920,7,,174.00,Active,,,https://www.redfin.com/IL/Chicago/1131-E-61st-St-60637/unit-3/home/12692776,MRED as Distributed by MLS Grid,11969232,N,Y,41.783990400000000,-87.598443900000000,302,784,991,FISKE,HYDE PARK,61,14
MLS Listing,,Vacant Land,6225 S Saint Lawrence Ave,Chicago,IL,60637,175555,,,CHI - Woodlawn,,3049,0,17,,0.00,Active,,,https://www.redfin.com/IL/Chicago/6225-S-Saint-Lawrence-Ave-60637/home/184033817,MRED as Distributed by MLS Grid,11963800,N,Y,41.781453200000000,-87.610535400000000,590,1366,548,FISKE,HYDE PARK,59,7
MLS Listing,,Vacant Land,6121 S King Dr,Chicago,IL,60637,110000,,,CHI - Woodlawn,,6225,0,277,,0.00,Active,,,https://www.redfin.com/IL/Chicago/6121-S-King-Dr-60637/home/147881449,MRED as Distributed by MLS Grid,11774290,N,Y,41.783109300000000,-87.615345700000000,396,1635,446,FISKE,HYDE PARK,46,3
MLS Listing,,Townhouse,6200 S Ingleside Ave Unit 5C,Chicago,IL,60637,324999,3.0,3.0,Ingleside Court,1400.0,0,2000,57,232.0,100.00,Active,,,https://www.redfin.com/IL/Chicago/6200-S-Ingleside-Ave-60637/unit-5C/home/12692155,MRED as Distributed by MLS Grid,11936480,N,Y,41.781982000000000,-87.603123400000000,142,949,394,FISKE,HYDE PARK,61,8
MLS Listing,,Vacant Land,6156-58 S Champlain Ave,Chicago,IL,60637,299000,,,CHI - Woodlawn,,6115,0,6,,0.00,Active,,,https://www.redfin.com/IL/Chicago/6156-S-Champlain-Ave-60637/home/188045658,MRED as Distributed by MLS Grid,11969933,N,Y,41.782395400000000,-87.609623800000000,487,1193,523,FISKE,HYDE PARK,59,7
MLS Listing,,Vacant Land,500 E 63rd St,Chicago,IL,60637,350000,,,CHI - Woodlawn,,12632,0,161,,0.00,Active,,,https://www.redfin.com/IL/Chicago/500-E-63rd-St-60637/home/180054128,MRED as Distributed by MLS Grid,11860563,N,Y,41.780562000000000,-87.612894000000000,783,1643,302,FISKE,HYDE PARK,56,7
MLS Listing,,Multi-Family (2-4 Unit),6240 S Champlain Ave,Chicago,IL,60637,449900,10.0,3.0,CHI - Woodlawn,,0,1910,17,,0.00,Active,,,https://www.redfin.com/IL/Chicago/6240-S-Champlain-Ave-60637/home/13943125,MRED as Distributed by MLS Grid,11955469,N,Y,41.780965400000000,-87.609863200000000,516,1375,457,FISKE,HYDE PARK,59,7
MLS Listing,,Townhouse,6211 S Ellis Ave Unit B,Chicago,IL,60637,674800,4.0,3.5,CHI - Woodlawn,,3125,2022,152,,130.00,Active,February-4-2024 02:00 PM,February-4-2024 04:00 PM,https://www.redfin.com/IL/Chicago/6211-S-Ellis-Ave-60637/unit-B/home/187345145,MRED as Distributed by MLS Grid,11877796.0,N,Y,41.781654400000000,-87.600747200000000,339,1012,603,FISKE,HYDE PARK,58,9
MLS Listing,,Townhouse,6209 S Ellis Ave Unit E,Chicago,IL,60637,689800,4.0,3.5,CHI - Woodlawn,,3125,2022,152,,130.00,Active,February-4-2024 02:00 PM,February-4-2024 04:00 PM,https://www.redfin.com/IL/Chicago/6209-S-Ellis-Ave-60637/unit-E/home/185445933,MRED as Distributed by MLS Grid,11877783.0,N,Y,41.780879700000000,-87.601079200000000,239,1121,538,FISKE,HYDE PARK,54,7
MLS Listing,,Townhouse,6218 S Woodlawn Ave Unit D,Chicago,IL,60637,735000,3.0,2.5,CHI - Woodlawn,2250.0,0,2023,213,327.0,115.00,Active,,,https://www.redfin.com/IL/Chicago/6218-S-Woodlawn-Ave-60637/unit-D/home/186029604,MRED as Distributed by MLS Grid,11820419.0,N,Y,41.781688700000000,-87.596606800000000,146,1183,1050,FISKE,HYDE PARK,45,9
MLS Listing,,Townhouse,6218 S Woodlawn Ave Unit H,Chicago,IL,60637,759000,3.0,2.5,CHI - Woodlawn,2300.0,0,2023,213,330.0,115.00,Active,,,https://www.redfin.com/IL/Chicago/6218-S-Woodlawn-Ave-60637/unit-H/home/175251977,MRED as Distributed by MLS Grid,11820430,N,Y,41.781688700000000,-87.596606800000000,146,1183,1050,FISKE,HYDE PARK,45,9
MLS Listing,,Single Family Residential,6209 E S Ellis Ave,Chicago,IL,60637,689800,4.0,3.5,CHI - Woodlawn,,3125,2023,33,,180.00,Active,,,https://www.redfin.com/IL/Chicago/6209-S-Ellis-Ave-60637/home/178443821,MRED as Distributed by MLS Grid,11954563.0,N,Y,41.780876000000000,-87.601079100000000,239,1121,538,FISKE,HYDE PARK,53,7
MLS Listing,,Single Family Residential,6227 E S Ellis Ave,Chicago,IL,60637,689800,4.0,3.5,CHI - Woodlawn,,3125,2023,33,,180.00,Active,February-4-2024 02:00 PM,February-4-2024 04:00 PM,https://www.redfin.com/IL/Chicago/6227-S-Ellis-Ave-60637/home/181387132,MRED as Distributed by MLS Grid,11954566.0,N,Y,41.781400100000000,-87.601091900000000,285,1044,555,FISKE,HYDE PARK,57,8
MLS Listing,,Multi-Family (2-4 Unit),6043 S Vernon Ave,Chicago,IL,60637,889000,9.0,6.0,CHI - Woodlawn,,3125,2023,6,,0.00,Active,,,https://www.redfin.com/IL/Chicago/6043-S-Vernon-Ave-60637/home/21878575,MRED as Distributed by MLS Grid,11969916,N,Y,41.784473400000000,-87.614125800000000,196,1423,668,FISKE,HYDE PARK,54,2
