Neighborhood Name,Dominant Race,city
Albany Park,White,Chicago
Andersonville,White,Chicago
Archer Heights,Hispanic or Latino,Chicago
Armour Square,Asian,Chicago
Ashburn,Hispanic or Latino,Chicago
Auburn Gresham,Black,Chicago
Austin,Black,Chicago
Avalon Park,Black,Chicago
Avondale,Hispanic or Latino,Chicago
Belmont Cragin,Hispanic or Latino,Chicago
Beverly,White,Chicago
Brainerd,Black,Chicago
Bridgeport,Asian,Chicago
Brighton Park,Hispanic or Latino,Chicago
Bronzeville,Black,Chicago
Bucktown,White,Chicago
Burnside,Black,Chicago
Cabrini Green,White,Chicago
Canaryville,White,Chicago
Chatham,Black,Chicago
Chicago Loop,White,Chicago
Chinatown,Asian,Chicago
Clearing,Hispanic or Latino,Chicago
Cragin,Hispanic or Latino,Chicago
Depaul,White,Chicago
Douglas,Black,Chicago
Dunning,White,Chicago
East Garfield Park,Black,Chicago
East Side,Hispanic or Latino,Chicago
Edgewater,White,Chicago
Edison Park,White,Chicago
Englewood,Black,Chicago
Forest Glen,White,Chicago
Fuller Park,White,Chicago
Fulton Market,,Chicago
Gage Park,Hispanic or Latino,Chicago
Garfield Ridge,Hispanic or Latino,Chicago
Gold Coast,White,Chicago
Goose Island,,Chicago
Grand Boulevard,Black,Chicago
Greater Grand Crossing,Black,Chicago
Greektown,Asian,Chicago
Hegewisch,Hispanic or Latino,Chicago
Hermosa,Hispanic or Latino,Chicago
Humboldt Park,Hispanic or Latino,Chicago
Hyde Park,White,Chicago
Irving Park,White,Chicago
Jefferson Park,White,Chicago
Jeffery Manor,Hispanic or Latino,Chicago
Kenwood,Black,Chicago
Lakeview,White,Chicago
Lakeview East,White,Chicago
Lawndale,Hispanic or Latino,Chicago
Lincoln Park,White,Chicago
Lincoln Square,White,Chicago
Little Italy,Black,Chicago
Logan Square,White,Chicago
Loop,White,Chicago
Lower West Side,Hispanic or Latino,Chicago
Madison Square,Black,Chicago
Magnificent Mile,White,Chicago
Marquette Park,Hispanic or Latino,Chicago
McKinley Park,Hispanic or Latino,Chicago
Medical Village,Hispanic or Latino,Chicago
Morgan Park,Black,Chicago
Mount Greenwood,White,Chicago
Near North Side,White,Chicago
Near South Side,White,Chicago
Near West Side,White,Chicago
New City,Hispanic or Latino,Chicago
New Eastside,White,Chicago
Noble Square,White,Chicago
North Center,White,Chicago
North Lawndale,Black,Chicago
North Park,White,Chicago
Northalsted,White,Chicago
Norwood Park,White,Chicago
O Hare,Hispanic or Latino,Chicago
Oakland,Black,Chicago
Old Town,White,Chicago
Pill Hill,Black,Chicago
Portage Park,White,Chicago
Printer s Row,,Chicago
Pullman,Black,Chicago
Ravenswood,White,Chicago
River East,White,Chicago
River North,White,Chicago
River West,White,Chicago
Riverdale,Black,Chicago
Rogers Park,White,Chicago
Rogers Park,White,Chicago
Roscoe Village,White,Chicago
Roseland,Black,Chicago
Sauganash,White,Chicago
Scottsdale,Hispanic or Latino,Chicago
South Chicago,Black,Chicago
South Deering,Black,Chicago
South Lawndale,Hispanic or Latino,Chicago
South Loop,White,Chicago
South Shore,Black,Chicago
Streeterville,White,Chicago
Tri taylor,Hispanic or Latino,Chicago
Ukrainian Village,White,Chicago
University Village,Black,Chicago
Uptown,White,Chicago
Washington Heights,Black,Chicago
Washington Park,Black,Chicago
West Elsdon,Hispanic or Latino,Chicago
West Englewood,Black,Chicago
West Garfield Park,Black,Chicago
West Lawn,Hispanic or Latino,Chicago
West Loop,White,Chicago
West Park,White,Chicago
West Pullman,Black,Chicago
West Ridge,White,Chicago
West Town,White,Chicago
Wicker Park,White,Chicago
Woodlawn,Black,Chicago
Arroyo Seco,Hispanic or Latino,Los Angeles City
Artists District,Hispanic or Latino,Los Angeles City
Atwater Village,Hispanic or Latino,Los Angeles City
Bandini,Hispanic or Latino,Los Angeles City
Bel Air,White,Los Angeles City
Belvedere,Hispanic or Latino,Los Angeles City
Boyle Heights,Hispanic or Latino,Los Angeles City
Brentwood,White,Los Angeles City
Bunker Hill,Hispanic or Latino,Los Angeles City
Center City,White,Los Angeles City
Century City,White,Los Angeles City
Chinatown,Asian,Los Angeles City
City Terrace,Hispanic or Latino,Los Angeles City
Civic Center,Hispanic or Latino,Los Angeles City
Colorado Boulevard,White,Los Angeles City
Crenshaw,Black,Los Angeles City
Culver West,White,Los Angeles City
Cypress Park,Hispanic or Latino,Los Angeles City
Downtown Los Angeles,Hispanic or Latino,Los Angeles City
Eagle Rock,White,Los Angeles City
East Hollywood,Hispanic or Latino,Los Angeles City
East L.A.,Hispanic or Latino,Los Angeles City
Eastmont,Hispanic or Latino,Los Angeles City
Echo Park,Hispanic or Latino,Los Angeles City
El Sereno,Hispanic or Latino,Los Angeles City
Fashion District,Hispanic or Latino,Los Angeles City
Financial District,,Los Angeles City
Florence,Hispanic or Latino,Los Angeles City
Gallery Row,Hispanic or Latino,Los Angeles City
Glassel Park,Hispanic or Latino,Los Angeles City
Glassell Park,Hispanic or Latino,Los Angeles City
Graham,Hispanic or Latino,Los Angeles City
Hancock Park,,Los Angeles City
Helms District,White,Los Angeles City
Hermon,Asian,Los Angeles City
Highland Park,Hispanic or Latino,Los Angeles City
Historic Core,Hispanic or Latino,Los Angeles City
Hollywood Hills,White,Los Angeles City
Imperial Highway,White,Los Angeles City
Koreatown,Hispanic or Latino,Los Angeles City
Laguna,Hispanic or Latino,Los Angeles City
Lincoln Heights,Hispanic or Latino,Los Angeles City
Little Armenia,White,Los Angeles City
Little Tokyo,Hispanic or Latino,Los Angeles City
Los Feliz,White,Los Angeles City
Mar Vista,White,Los Angeles City
McLaughlin,White,Los Angeles City
Media District,White,Los Angeles City
Mid Wilshire,Hispanic or Latino,Los Angeles City
Montecito Heights,Hispanic or Latino,Los Angeles City
Monterey Hills,Hispanic or Latino,Los Angeles City
Mount Washington,Hispanic or Latino,Los Angeles City
Northeast Los Angeles,Hispanic or Latino,Los Angeles City
Palms,White,Los Angeles City
Pico Union,Hispanic or Latino,Los Angeles City
Playa Del Rey,White,Los Angeles City
Rosewood Park,Hispanic or Latino,Los Angeles City
Silverlake,White,Los Angeles City
Simons,Hispanic or Latino,Los Angeles City
Skid Row,,Los Angeles City
SoFo,,Los Angeles City
South park,Hispanic or Latino,Los Angeles City
Southeast Los Angeles,Hispanic or Latino,Los Angeles City
Thai Town,Hispanic or Latino,Los Angeles City
Toy District,,Los Angeles City
Watts,Hispanic or Latino,Los Angeles City
Wellington Heights,Hispanic or Latino,Los Angeles City
West Adams,Hispanic or Latino,Los Angeles City
West Hollywood West,White,Los Angeles City
West LA,White,Los Angeles City
Westside,White,Los Angeles City
Westwood,White,Los Angeles City
Whittier,Hispanic or Latino,Los Angeles City
Wholesale District,Hispanic or Latino,Los Angeles City
Wilshire,Hispanic or Latino,Los Angeles City
Battery Park City,White,New York City
Bellevue,White,New York City
Bowery,Asian,New York City
Central Park,White,New York City
Chelsea,White,New York City
Chinatown,Asian,New York City
City Hall,White,New York City
Civic Center,White,New York City
Downtown,White,New York City
East Harlem,Hispanic or Latino,New York City
East Side,White,New York City
East Village,White,New York City
Garment District,White,New York City
Gramercy Park,White,New York City
Gramercy Flatiron,White,New York City
Greenwich Village,White,New York City
Hamilton Grange,,New York City
Hamilton Heights,Hispanic or Latino,New York City
Harlem,Black,New York City
Hell s Kitchen,White,New York City
Inwood,Hispanic or Latino,New York City
Kips Bay,White,New York City
Lenox Hill,White,New York City
Little Italy,Asian,New York City
LoDel,Asian,New York City
Lower East Side,White,New York City
Manhattan,White,New York City
Manhattan Valley,White,New York City
Manhattanville,Hispanic or Latino,New York City
Meat Packing District,White,New York City
Midtown,White,New York City
Midtown West,White,New York City
Morningside Heights,White,New York City
Murray Hill,White,New York City
NoHo,White,New York City
Nolita,White,New York City
Peter Cooper Village,White,New York City
Roosevelt Island,,New York City
Seaport,White,New York City
Soho,White,New York City
St. Nicholas Terrace,Black,New York City
Stuyvesant Town,White,New York City
Sutton Place,White,New York City
Theatre District,White,New York City
Tribeca,White,New York City
Tudor City,White,New York City
Turtle Bay,White,New York City
Two Bridges,Asian,New York City
Union Square,White,New York City
Upper East Side,White,New York City
Upper West Side,White,New York City
Uptown,White,New York City
Wall Street,White,New York City
Washington Heights,Hispanic or Latino,New York City
West Side,White,New York City
West Village,White,New York City
World Trade Center,White,New York City
Yorkville,White,New York City
