community,population.density,median.age,city
Battery Park City,34587,33.4,New York City
Bellevue,44972,35.2,New York City
Bowery,44467,36.0,New York City
Central Park,69548,43.4,New York City
Chelsea,61847,43.6,New York City
Chinatown,62181,39.3,New York City
City Hall,89008,41.5,New York City
Civic Center,51894,35.5,New York City
Downtown,66111,38.2,New York City
East Harlem,81321,38.3,New York City
East Side (Midtown East),58020,39.5,New York City
East Village (Alphabet City),78338,37.2,New York City
Garment District,40730,38.5,New York City
Gramercy Park,71817,37.7,New York City
Gramercy-Flatiron (Gramercy/Flatiron),56554,36.8,New York City
Greenwich Village,77849,36.5,New York City
Hamilton Heights,108060,35.9,New York City
Harlem,82116,37.5,New York City
Hell's Kitchen (Clinton),74178,38.1,New York City
Inwood,50696,40.8,New York City
Kips Bay,64137,38.0,New York City
Lenox Hill,56726,41.1,New York City
Little Italy,100231,37.5,New York City
LoDel,88839,43.7,New York City
Lower East Side (LES),80579,41.9,New York City
Manhattan,,0.0,New York City
Manhattan Valley,82964,44.5,New York City
Manhattanville,105106,37.3,New York City
Meat Packing District (Meatpacking District),35624,34.8,New York City
Midtown,41519,40.5,New York City
Midtown West,58923,39.2,New York City
Morningside Heights,74744,31.2,New York City
Murray Hill (Curry Hill),51260,38.0,New York City
NoHo (North of Houston),75159,36.9,New York City
Nolita (North of Little Italy),73193,38.0,New York City
Peter Cooper Village (Peter Cooper),54884,31.9,New York City
Seaport (South Street Seaport),80017,31.9,New York City
Soho,57643,39.7,New York City
St. Nicholas Terrace (Sugar Hill),87166,40.0,New York City
Stuyvesant Town (Stuyvesant Park),82740,33.7,New York City
Sutton Place,85011,60.5,New York City
Theatre District,14483,39.7,New York City
Tribeca,44568,36.3,New York City
Tudor City,84625,35.0,New York City
Turtle Bay,56455,43.6,New York City
Two Bridges,54840,41.9,New York City
Union Square (Flatiron),39739,35.8,New York City
Upper East Side (UES),62425,45.0,New York City
Upper West Side (UWS),101943,44.2,New York City
Uptown,84276,40.1,New York City
Wall Street (Financial District),44690,33.5,New York City
Washington Heights,116673,38.1,New York City
West Side,87484,43.3,New York City
West Village,66571,39.7,New York City
World Trade Center (WTC),43095,30.9,New York City
Yorkville,53532,40.0,New York City
