community,population.density,median.age
Albany Park,23217,37.1
Andersonville,23278,39.3
Archer Heights,10111,34.4
Armour Square,15357,40.2
Ashburn,9133,34.6
Auburn Gresham,15858,39.0
Austin,18763,36.1
Avalon Park,7326,44.7
Avondale,17393,34.5
Belmont Cragin,20664,34.9
Beverly,8605,45.8
Brainerd,12974,43.2
Bridgeport,28250,40.9
Brighton Park,15944,32.7
Bronzeville,20985,45.5
Bucktown,27360,32.4
Burnside,6413,43.1
Cabrini-Green (Cabrini Green),12804,46.9
Canaryville,22938,40.9
Chatham,10549,42.5
Chicago Loop (The Loop),11332,33.7
Chinatown,23625,39.4
Clearing,14668,37.1
Cragin (Belmont Cragin),19883,36.0
Depaul,25898,30.2
Douglas,9881,37.8
Dunning,12608,42.3
East Garfield Park,15452,31.4
East Side,15004,34.8
Edgewater,25281,37.5
Edison Park,9942,45.5
Englewood,13167,37.5
Forest Glen,4821,45.0
Fuller Park,13407,33.1
Gage Park,19361,32.2
Garfield Ridge,12031,40.0
Gold Coast,27380,41.3
Grand Boulevard,21650,44.7
Greater Grand Crossing,11884,39.1
Greektown,25620,30.2
Hegewisch,2800,38.7
Hermosa,15488,37.8
Humboldt Park,23679,34.2
Hyde Park,16998,35.5
Irving Park,15661,38.4
Jefferson Park,11399,40.4
Jeffery Manor,10903,39.1
Kenwood,14458,41.5
Lakeview (Wrigleyville),23134,32.5
Lakeview East (East LakeView),21328,28.6
Lawndale,16063,34.3
Lincoln Park,23233,31.6
Lincoln Square,6918,37.0
Little Italy,23555,32.1
Logan Square,22844,33.3
Loop,15417,34.6
Lower West Side (Pilsen),27727,33.9
Madison Square,14736,37.4
Magnificent Mile (Michigan Avenue),40804,37.0
Marquette Park (Chicago Lawn),17348,35.2
McKinley Park,13332,36.3
Medical Village,28508,32.9
Morgan Park,7825,41.9
Mount Greenwood,14580,40.0
Near North Side,35570,36.0
Near South Side,16166,37.9
Near West Side,29394,33.2
New City (Back of the Yards),13769,34.1
New Eastside,32031,34.3
Noble Square,32596,33.0
North Center,28165,37.5
North Lawndale,15844,34.9
North Park,9663,42.2
Northalsted (Boys Town),20606,33.2
Norwood Park,10603,43.5
O'Hare,,38.2
Oakland,20547,39.3
Old Town,28563,30.4
Pill Hill (Calumet Heights),9255,46.4
Portage Park,18045,40.2
Pullman,3455,40.7
Ravenswood,19642,39.1
River East,20833,44.9
River North,43223,34.4
River West,60084,32.2
Riverdale,1631,33.5
Rogers Park,20211,45.8
Roscoe Village,23771,32.8
Roseland,10478,42.8
Sauganash,8132,41.1
Scottsdale,12110,37.6
South Chicago,13962,42.0
South Deering,11426,41.0
South Lawndale (Little Village),23512,34.3
South Loop,17353,37.1
South Shore,18768,38.5
Streeterville,16096,45.0
Tri-taylor,25161,29.0
Ukrainian Village,27700,33.9
University Village,24328,34.3
Uptown,18389,37.6
Washington Heights,12296,42.0
Washington Park,11203,33.1
West Elsdon,14962,34.5
West Englewood,12178,40.9
West Garfield Park,21045,34.8
West Lawn,9895,35.0
West Loop,39137,33.0
West Park,25144,32.6
West Pullman,7785,40.0
West Ridge (West Rogers Park),16493,35.3
West Town,27301,33.1
Wicker Park,29689,31.9
Woodlawn,15747,36.5
