community,population.density,median.age,city
Albany Park,23217,37.1,Chicago
Andersonville,23278,39.3,Chicago
Archer Heights,10111,34.4,Chicago
Armour Square,15357,40.2,Chicago
Ashburn,9133,34.6,Chicago
Auburn Gresham,15858,39.0,Chicago
Austin,18763,36.1,Chicago
Avalon Park,7326,44.7,Chicago
Avondale,17393,34.5,Chicago
Belmont Cragin,20664,34.9,Chicago
Beverly,8605,45.8,Chicago
Brainerd,12974,43.2,Chicago
Bridgeport,28250,40.9,Chicago
Brighton Park,15944,32.7,Chicago
Bronzeville,20985,45.5,Chicago
Bucktown,27360,32.4,Chicago
Burnside,6413,43.1,Chicago
Cabrini-Green (Cabrini Green),12804,46.9,Chicago
Canaryville,22938,40.9,Chicago
Chatham,10549,42.5,Chicago
Chicago Loop (The Loop),11332,33.7,Chicago
Chinatown,23625,39.4,Chicago
Clearing,14668,37.1,Chicago
Cragin (Belmont Cragin),19883,36.0,Chicago
Depaul,25898,30.2,Chicago
Douglas,9881,37.8,Chicago
Dunning,12608,42.3,Chicago
East Garfield Park,15452,31.4,Chicago
East Side,15004,34.8,Chicago
Edgewater,25281,37.5,Chicago
Edison Park,9942,45.5,Chicago
Englewood,13167,37.5,Chicago
Forest Glen,4821,45.0,Chicago
Fuller Park,13407,33.1,Chicago
Gage Park,19361,32.2,Chicago
Garfield Ridge,12031,40.0,Chicago
Gold Coast,27380,41.3,Chicago
Grand Boulevard,21650,44.7,Chicago
Greater Grand Crossing,11884,39.1,Chicago
Greektown,25620,30.2,Chicago
Hegewisch,2800,38.7,Chicago
Hermosa,15488,37.8,Chicago
Humboldt Park,23679,34.2,Chicago
Hyde Park,16998,35.5,Chicago
Irving Park,15661,38.4,Chicago
Jefferson Park,11399,40.4,Chicago
Jeffery Manor,10903,39.1,Chicago
Kenwood,14458,41.5,Chicago
Lakeview (Wrigleyville),23134,32.5,Chicago
Lakeview East (East LakeView),21328,28.6,Chicago
Lawndale,16063,34.3,Chicago
Lincoln Park,23233,31.6,Chicago
Lincoln Square,6918,37.0,Chicago
Little Italy,23555,32.1,Chicago
Logan Square,22844,33.3,Chicago
Loop,15417,34.6,Chicago
Lower West Side (Pilsen),27727,33.9,Chicago
Madison Square,14736,37.4,Chicago
Magnificent Mile (Michigan Avenue),40804,37.0,Chicago
Marquette Park (Chicago Lawn),17348,35.2,Chicago
McKinley Park,13332,36.3,Chicago
Medical Village,28508,32.9,Chicago
Morgan Park,7825,41.9,Chicago
Mount Greenwood,14580,40.0,Chicago
Near North Side,35570,36.0,Chicago
Near South Side,16166,37.9,Chicago
Near West Side,29394,33.2,Chicago
New City (Back of the Yards),13769,34.1,Chicago
New Eastside,32031,34.3,Chicago
Noble Square,32596,33.0,Chicago
North Center,28165,37.5,Chicago
North Lawndale,15844,34.9,Chicago
North Park,9663,42.2,Chicago
Northalsted (Boys Town),20606,33.2,Chicago
Norwood Park,10603,43.5,Chicago
O'Hare,,38.2,Chicago
Oakland,20547,39.3,Chicago
Old Town,28563,30.4,Chicago
Pill Hill (Calumet Heights),9255,46.4,Chicago
Portage Park,18045,40.2,Chicago
Pullman,3455,40.7,Chicago
Ravenswood,19642,39.1,Chicago
River East,20833,44.9,Chicago
River North,43223,34.4,Chicago
River West,60084,32.2,Chicago
Riverdale,1631,33.5,Chicago
Rogers Park,20211,45.8,Chicago
Roscoe Village,23771,32.8,Chicago
Roseland,10478,42.8,Chicago
Sauganash,8132,41.1,Chicago
Scottsdale,12110,37.6,Chicago
South Chicago,13962,42.0,Chicago
South Deering,11426,41.0,Chicago
South Lawndale (Little Village),23512,34.3,Chicago
South Loop,17353,37.1,Chicago
South Shore,18768,38.5,Chicago
Streeterville,16096,45.0,Chicago
Tri-taylor,25161,29.0,Chicago
Ukrainian Village,27700,33.9,Chicago
University Village,24328,34.3,Chicago
Uptown,18389,37.6,Chicago
Washington Heights,12296,42.0,Chicago
Washington Park,11203,33.1,Chicago
West Elsdon,14962,34.5,Chicago
West Englewood,12178,40.9,Chicago
West Garfield Park,21045,34.8,Chicago
West Lawn,9895,35.0,Chicago
West Loop,39137,33.0,Chicago
West Park,25144,32.6,Chicago
West Pullman,7785,40.0,Chicago
West Ridge (West Rogers Park),16493,35.3,Chicago
West Town,27301,33.1,Chicago
Wicker Park,29689,31.9,Chicago
Woodlawn,15747,36.5,Chicago
