community,population.density,median.age,city
Arroyo Seco,16324,36.6,Los Angeles City
Artists District,1506,34.0,Los Angeles City
Atwater Village,6697,40.5,Los Angeles City
Bandini,3879,38.3,Los Angeles City
Bel Air,2679,49.9,Los Angeles City
Belvedere,15347,34.2,Los Angeles City
Boyle Heights,17388,32.1,Los Angeles City
Brentwood,1613,46.5,Los Angeles City
Bunker Hill,8902,31.6,Los Angeles City
Center City,11355,46.2,Los Angeles City
Century City,6714,43.0,Los Angeles City
Chinatown,7750,32.6,Los Angeles City
City Terrace,27776,35.1,Los Angeles City
Civic Center,16772,30.9,Los Angeles City
Colorado Boulevard,8427,42.7,Los Angeles City
Crenshaw,8163,46.2,Los Angeles City
Culver West,10769,44.0,Los Angeles City
Cypress Park,21216,38.2,Los Angeles City
Downtown Los Angeles,5898,31.6,Los Angeles City
Eagle Rock,6818,39.8,Los Angeles City
East Hollywood,25956,38.3,Los Angeles City
East L.A. (The Eastside),20438,35.0,Los Angeles City
Eastmont,25264,35.7,Los Angeles City
Echo Park (Enendale),13609,36.9,Los Angeles City
El Sereno,9449,38.8,Los Angeles City
Fashion District,13413,33.4,Los Angeles City
Florence,18965,30.5,Los Angeles City
Gallery Row,16814,31.6,Los Angeles City
Glassel Park,12370,37.9,Los Angeles City
Glassell Park,12411,36.7,Los Angeles City
Graham,18709,30.0,Los Angeles City
Helms District,9189,37.2,Los Angeles City
Hermon,4527,44.4,Los Angeles City
Highland Park,14983,37.6,Los Angeles City
Historic Core,16762,31.6,Los Angeles City
Hollywood Hills,4206,45.2,Los Angeles City
Imperial Highway (Imperial),10394,38.0,Los Angeles City
Koreatown (Wilshire Center),29790,36.5,Los Angeles City
Laguna,5170,33.8,Los Angeles City
Lincoln Heights,12349,35.2,Los Angeles City
Little Armenia,27752,41.5,Los Angeles City
Little Tokyo (Japantown),16773,31.6,Los Angeles City
Los Feliz (Griffith Park),8794,42.0,Los Angeles City
Mar Vista,11147,41.5,Los Angeles City
McLaughlin,13159,42.3,Los Angeles City
Media District,4295,47.0,Los Angeles City
Mid-Wilshire,17640,37.2,Los Angeles City
Montecito Heights,5781,40.5,Los Angeles City
Monterey Hills,9050,39.0,Los Angeles City
Mount Washington,12104,35.5,Los Angeles City
Northeast Los Angeles,9876,38.6,Los Angeles City
Palms,11564,39.0,Los Angeles City
Pico-Union,24174,34.8,Los Angeles City
Playa Del Rey,7810,39.8,Los Angeles City
Rosewood Park (Rosewood),1787,42.8,Los Angeles City
Silverlake (Ivanhoe),9996,40.7,Los Angeles City
Simons,2934,39.6,Los Angeles City
South park,17924,31.6,Los Angeles City
Southeast Los Angeles,21302,30.1,Los Angeles City
Thai Town,40323,43.3,Los Angeles City
Watts,22298,28.6,Los Angeles City
Wellington Heights,22149,33.0,Los Angeles City
West Adams,11416,37.1,Los Angeles City
West Hollywood West,6675,45.8,Los Angeles City
West LA,11942,36.8,Los Angeles City
Westside (West Los Angeles),8637,39.7,Los Angeles City
Westwood,14946,35.8,Los Angeles City
Whittier,21873,35.2,Los Angeles City
Wholesale District (The Nickel),1507,34.0,Los Angeles City
Wilshire,20423,37.5,Los Angeles City
