Neighborhood Name,Dominant Race
Albany Park,White
Andersonville,White
Archer Heights,Hispanic or Latino
Armour Square,Asian
Ashburn,Hispanic or Latino
Auburn Gresham,Black
Austin,Black
Avalon Park,Black
Avondale,Hispanic or Latino
Belmont Cragin,Hispanic or Latino
Beverly,White
Brainerd,Black
Bridgeport,Asian
Brighton Park,Hispanic or Latino
Bronzeville,Black
Bucktown,White
Burnside,Black
Cabrini Green,White
Canaryville,White
Chatham,Black
Chicago Loop,White
Chinatown,Asian
Clearing,Hispanic or Latino
Cragin,Hispanic or Latino
Depaul,White
Douglas,Black
Dunning,White
East Garfield Park,Black
East Side,Hispanic or Latino
Edgewater,White
Edison Park,White
Englewood,Black
Forest Glen,White
Fuller Park,White
Fulton Market,
Gage Park,Hispanic or Latino
Garfield Ridge,Hispanic or Latino
Gold Coast,White
Goose Island,
Grand Boulevard,Black
Greater Grand Crossing,Black
Greektown,Asian
Hegewisch,Hispanic or Latino
Hermosa,Hispanic or Latino
Humboldt Park,Hispanic or Latino
Hyde Park,White
Irving Park,White
Jefferson Park,White
Jeffery Manor,Hispanic or Latino
Kenwood,Black
Lakeview,White
Lakeview East,White
Lawndale,Hispanic or Latino
Lincoln Park,White
Lincoln Square,White
Little Italy,Black
Logan Square,White
Loop,White
Lower West Side,Hispanic or Latino
Madison Square,Black
Magnificent Mile,White
Marquette Park,Hispanic or Latino
McKinley Park,Hispanic or Latino
Medical Village,Hispanic or Latino
Morgan Park,Black
Mount Greenwood,White
Near North Side,White
Near South Side,White
Near West Side,White
New City,Hispanic or Latino
New Eastside,White
Noble Square,White
North Center,White
North Lawndale,Black
North Park,White
Northalsted,White
Norwood Park,White
O Hare,Hispanic or Latino
Oakland,Black
Old Town,White
Pill Hill,Black
Portage Park,White
Printer s Row,
Pullman,Black
Ravenswood,White
River East,White
River North,White
River West,White
Riverdale,Black
Rogers Park,White
Rogers Park,White
Roscoe Village,White
Roseland,Black
Sauganash,White
Scottsdale,Hispanic or Latino
South Chicago,Black
South Deering,Black
South Lawndale,Hispanic or Latino
South Loop,White
South Shore,Black
Streeterville,White
Tri taylor,Hispanic or Latino
Ukrainian Village,White
University Village,Black
Uptown,White
Washington Heights,Black
Washington Park,Black
West Elsdon,Hispanic or Latino
West Englewood,Black
West Garfield Park,Black
West Lawn,Hispanic or Latino
West Loop,White
West Park,White
West Pullman,Black
West Ridge,White
West Town,White
Wicker Park,White
Woodlawn,Black
