Neighborhood Name,Dominant Race
Arroyo Seco,Hispanic or Latino
Artists District,Hispanic or Latino
Atwater Village,Hispanic or Latino
Bandini,Hispanic or Latino
Bel Air,White
Belvedere,Hispanic or Latino
Boyle Heights,Hispanic or Latino
Brentwood,White
Bunker Hill,Hispanic or Latino
Center City,White
Century City,White
Chinatown,Asian
City Terrace,Hispanic or Latino
Civic Center,Hispanic or Latino
Colorado Boulevard,White
Crenshaw,Black
Culver West,White
Cypress Park,Hispanic or Latino
Downtown Los Angeles,Hispanic or Latino
Eagle Rock,White
East Hollywood,Hispanic or Latino
East L.A.,Hispanic or Latino
Eastmont,Hispanic or Latino
Echo Park,Hispanic or Latino
El Sereno,Hispanic or Latino
Fashion District,Hispanic or Latino
Financial District,
Florence,Hispanic or Latino
Gallery Row,Hispanic or Latino
Glassel Park,Hispanic or Latino
Glassell Park,Hispanic or Latino
Graham,Hispanic or Latino
Hancock Park,
Helms District,White
Hermon,Asian
Highland Park,Hispanic or Latino
Historic Core,Hispanic or Latino
Hollywood Hills,White
Imperial Highway,White
Koreatown,Hispanic or Latino
Laguna,Hispanic or Latino
Lincoln Heights,Hispanic or Latino
Little Armenia,White
Little Tokyo,Hispanic or Latino
Los Feliz,White
Mar Vista,White
McLaughlin,White
Media District,White
Mid Wilshire,Hispanic or Latino
Montecito Heights,Hispanic or Latino
Monterey Hills,Hispanic or Latino
Mount Washington,Hispanic or Latino
Northeast Los Angeles,Hispanic or Latino
Palms,White
Pico Union,Hispanic or Latino
Playa Del Rey,White
Rosewood Park,Hispanic or Latino
Silverlake,White
Simons,Hispanic or Latino
Skid Row,
SoFo,
South park,Hispanic or Latino
Southeast Los Angeles,Hispanic or Latino
Thai Town,Hispanic or Latino
Toy District,
Watts,Hispanic or Latino
Wellington Heights,Hispanic or Latino
West Adams,Hispanic or Latino
West Hollywood West,White
West LA,White
Westside,White
Westwood,White
Whittier,Hispanic or Latino
Wholesale District,Hispanic or Latino
Wilshire,Hispanic or Latino
