Neighborhood Name,Dominant Race
Battery Park City,White
Bellevue,White
Bowery,Asian
Central Park,White
Chelsea,White
Chinatown,Asian
City Hall,White
Civic Center,White
Downtown,White
East Harlem,Hispanic or Latino
East Side,White
East Village,White
Garment District,White
Gramercy Park,White
Gramercy Flatiron,White
Greenwich Village,White
Hamilton Grange,
Hamilton Heights,Hispanic or Latino
Harlem,Black
Hell s Kitchen,White
Inwood,Hispanic or Latino
Kips Bay,White
Lenox Hill,White
Little Italy,Asian
LoDel,Asian
Lower East Side,White
Manhattan,White
Manhattan Valley,White
Manhattanville,Hispanic or Latino
Meat Packing District,White
Midtown,White
Midtown West,White
Morningside Heights,White
Murray Hill,White
NoHo,White
Nolita,White
Peter Cooper Village,White
Roosevelt Island,
Seaport,White
Soho,White
St. Nicholas Terrace,Black
Stuyvesant Town,White
Sutton Place,White
Theatre District,White
Tribeca,White
Tudor City,White
Turtle Bay,White
Two Bridges,Asian
Union Square,White
Upper East Side,White
Upper West Side,White
Uptown,White
Wall Street,White
Washington Heights,Hispanic or Latino
West Side,White
West Village,White
World Trade Center,White
Yorkville,White
