Neighborhood Name,Dominant Race,city
Battery Park City,White,New York City
Bellevue,White,New York City
Bowery,Asian,New York City
Central Park,White,New York City
Chelsea,White,New York City
Chinatown,Asian,New York City
City Hall,White,New York City
Civic Center,White,New York City
Downtown,White,New York City
East Harlem,Hispanic or Latino,New York City
East Side,White,New York City
East Village,White,New York City
Garment District,White,New York City
Gramercy Park,White,New York City
Gramercy Flatiron,White,New York City
Greenwich Village,White,New York City
Hamilton Grange,,New York City
Hamilton Heights,Hispanic or Latino,New York City
Harlem,Black,New York City
Hell s Kitchen,White,New York City
Inwood,Hispanic or Latino,New York City
Kips Bay,White,New York City
Lenox Hill,White,New York City
Little Italy,Asian,New York City
LoDel,Asian,New York City
Lower East Side,White,New York City
Manhattan,White,New York City
Manhattan Valley,White,New York City
Manhattanville,Hispanic or Latino,New York City
Meat Packing District,White,New York City
Midtown,White,New York City
Midtown West,White,New York City
Morningside Heights,White,New York City
Murray Hill,White,New York City
NoHo,White,New York City
Nolita,White,New York City
Peter Cooper Village,White,New York City
Roosevelt Island,,New York City
Seaport,White,New York City
Soho,White,New York City
St. Nicholas Terrace,Black,New York City
Stuyvesant Town,White,New York City
Sutton Place,White,New York City
Theatre District,White,New York City
Tribeca,White,New York City
Tudor City,White,New York City
Turtle Bay,White,New York City
Two Bridges,Asian,New York City
Union Square,White,New York City
Upper East Side,White,New York City
Upper West Side,White,New York City
Uptown,White,New York City
Wall Street,White,New York City
Washington Heights,Hispanic or Latino,New York City
West Side,White,New York City
West Village,White,New York City
World Trade Center,White,New York City
Yorkville,White,New York City
