community,2020poverty_rate,city
Los Angeles - Angelino Heights,7.36,Los Angeles City
Los Angeles - Arleta,11.30,Los Angeles City
Los Angeles - Atwater Village,12.91,Los Angeles City
Los Angeles - Baldwin Hills,21.92,Los Angeles City
Los Angeles - Bel Air,3.26,Los Angeles City
Los Angeles - Beverly Crest,4.49,Los Angeles City
Los Angeles - Beverlywood,5.16,Los Angeles City
Los Angeles - Boyle Heights,23.97,Los Angeles City
Los Angeles - Brentwood,7.43,Los Angeles City
Los Angeles - Brookside,12.03,Los Angeles City
Los Angeles - Cadillac-Corning,14.94,Los Angeles City
Los Angeles - Canoga Park,15.36,Los Angeles City
Los Angeles - Carthay,9.93,Los Angeles City
Los Angeles - Central,25.79,Los Angeles City
Los Angeles - Century City,7.14,Los Angeles City
Los Angeles - Century Palms/Cove,25.88,Los Angeles City
Los Angeles - Chatsworth,6.57,Los Angeles City
Los Angeles - Cheviot Hills,3.49,Los Angeles City
Los Angeles - Chinatown,27.61,Los Angeles City
Los Angeles - Cloverdale/Cochran,15.70,Los Angeles City
Los Angeles - Country Club Park,14.55,Los Angeles City
Los Angeles - Crenshaw District,16.66,Los Angeles City
Los Angeles - Crestview,8.02,Los Angeles City
Los Angeles - Del Rey,15.31,Los Angeles City
Los Angeles - Downtown,25.99,Los Angeles City
Los Angeles - Eagle Rock,9.32,Los Angeles City
Los Angeles - East Hollywood,20.42,Los Angeles City
Los Angeles - Echo Park,6.84,Los Angeles City
Los Angeles - El Sereno,17.73,Los Angeles City
Los Angeles - Elysian Park,20.35,Los Angeles City
Los Angeles - Elysian Valley,11.60,Los Angeles City
Los Angeles - Encino,9.36,Los Angeles City
Los Angeles - Exposition,15.40,Los Angeles City
Los Angeles - Exposition Park,25.93,Los Angeles City
Los Angeles - Faircrest Heights,8.78,Los Angeles City
Los Angeles - Figueroa Park Square,26.46,Los Angeles City
Los Angeles - Florence-Firestone,26.39,Los Angeles City
Los Angeles - Glassell Park,11.78,Los Angeles City
Los Angeles - Gramercy Place,12.15,Los Angeles City
Los Angeles - Granada Hills,7.80,Los Angeles City
Los Angeles - Green Meadows,24.68,Los Angeles City
Los Angeles - Hancock Park,7.87,Los Angeles City
Los Angeles - Harbor City,13.93,Los Angeles City
Los Angeles - Harbor Gateway,16.33,Los Angeles City
Los Angeles - Harbor Pines,4.04,Los Angeles City
Los Angeles - Harvard Heights,19.57,Los Angeles City
Los Angeles - Harvard Park,24.00,Los Angeles City
Los Angeles - Highland Park,13.90,Los Angeles City
Los Angeles - Historic Filipinotown,19.78,Los Angeles City
Los Angeles - Hollywood,17.78,Los Angeles City
Los Angeles - Hollywood Hills,9.23,Los Angeles City
Los Angeles - Hyde Park,20.93,Los Angeles City
Los Angeles - Jefferson Park,23.87,Los Angeles City
Los Angeles - Koreatown,24.26,Los Angeles City
Los Angeles - Lafayette Square,11.76,Los Angeles City
Los Angeles - Lake Balboa,15.03,Los Angeles City
Los Angeles - Lakeview Terrace,8.37,Los Angeles City
Los Angeles - Leimert Park,16.68,Los Angeles City
Los Angeles - Lincoln Heights,19.49,Los Angeles City
Los Angeles - Little Armenia,28.81,Los Angeles City
Los Angeles - Little Bangladesh,17.70,Los Angeles City
Los Angeles - Little Tokyo,40.87,Los Angeles City
Los Angeles - Longwood,14.85,Los Angeles City
Los Angeles - Los Feliz,8.87,Los Angeles City
Los Angeles - Manchester Square,18.06,Los Angeles City
Los Angeles - Mandeville Canyon,2.55,Los Angeles City
Los Angeles - Mar Vista,8.38,Los Angeles City
Los Angeles - Marina Peninsula,7.15,Los Angeles City
Los Angeles - Melrose,15.55,Los Angeles City
Los Angeles - Mid-city,11.98,Los Angeles City
Los Angeles - Miracle Mile,9.35,Los Angeles City
Los Angeles - Mission Hills,11.61,Los Angeles City
Los Angeles - Mt. Washington,14.64,Los Angeles City
Los Angeles - North Hills,17.78,Los Angeles City
Los Angeles - North Hollywood,16.44,Los Angeles City
Los Angeles - Northridge,14.00,Los Angeles City
Los Angeles - Pacific Palisades,4.44,Los Angeles City
Los Angeles - Pacoima,19.70,Los Angeles City
Los Angeles - Palisades Highlands,2.33,Los Angeles City
Los Angeles - Palms,8.64,Los Angeles City
Los Angeles - Panorama City,18.77,Los Angeles City
Los Angeles - Park La Brea,12.75,Los Angeles City
Los Angeles - Pico-Union,30.67,Los Angeles City
Los Angeles - Playa Del Rey,5.95,Los Angeles City
Los Angeles - Playa Vista,5.07,Los Angeles City
Los Angeles - Porter Ranch,3.32,Los Angeles City
Los Angeles - Rancho Park,8.55,Los Angeles City
Los Angeles - Regent Square,11.92,Los Angeles City
Los Angeles - Reseda,12.68,Los Angeles City
Los Angeles - Reseda Ranch,10.63,Los Angeles City
Los Angeles - Reynier Village,10.71,Los Angeles City
Los Angeles - San Pedro,13.89,Los Angeles City
Los Angeles - Shadow Hills,5.49,Los Angeles City
Los Angeles - Sherman Oaks,7.80,Los Angeles City
Los Angeles - Silverlake,9.64,Los Angeles City
Los Angeles - South Carthay,7.31,Los Angeles City
Los Angeles - South Park,31.99,Los Angeles City
Los Angeles - St Elmo Village,18.26,Los Angeles City
Los Angeles - Studio City,5.78,Los Angeles City
Los Angeles - Sun Valley,13.25,Los Angeles City
Los Angeles - Sunland,8.67,Los Angeles City
Los Angeles - Sycamore Square,11.96,Los Angeles City
Los Angeles - Sylmar,12.78,Los Angeles City
Los Angeles - Tarzana,9.67,Los Angeles City
Los Angeles - Temple-Beaudry,23.90,Los Angeles City
Los Angeles - Thai Town,21.03,Los Angeles City
Los Angeles - Toluca Lake,10.13,Los Angeles City
Los Angeles - Toluca Terrace,17.30,Los Angeles City
Los Angeles - Toluca Woods,12.32,Los Angeles City
Los Angeles - Tujunga,13.93,Los Angeles City
Los Angeles - University Hills,15.55,Los Angeles City
Los Angeles - University Park,45.04,Los Angeles City
Los Angeles - Valley Glen,20.28,Los Angeles City
Los Angeles - Valley Village,11.57,Los Angeles City
Los Angeles - Van Nuys,20.42,Los Angeles City
Los Angeles - Venice,11.37,Los Angeles City
Los Angeles - Vermont Knolls,27.94,Los Angeles City
Los Angeles - Vermont Square,17.03,Los Angeles City
