borough,community,poverty.rate,city
BX,The Bronx,26.4,New York City
BX 01,Mott Haven,36.6,New York City
BX 01,Melrose,36.6,New York City
BX 02,Hunts Point,36.6,New York City
BX 02,Longwood,36.6,New York City
BX 03,Morrisania,35.8,New York City
BX 03,Crotona,35.8,New York City
BX 04,Highbridge,28.3,New York City
BX 04,Concourse,28.3,New York City
BX 05,Fordham,33.7,New York City
BX 05,University Heights,33.7,New York City
BX 06,Belmont,35.8,New York City
BX 06,East Tremont,35.8,New York City
BX 07,Bedford,27.1,New York City
BX 07,Kingsbridge Heights,27.1,New York City
BX 09,Soundview,26.7,New York City
BX 09,Parkchester,26.7,New York City
BK 03,Bedford Stuyvesant,24.2,New York City
BK 04,Bushwick,24.2,New York City
BK 07,Sunset Park,22.9,New York City
BK 09,South Crown Heights,22.4,New York City
BK 09,Lefferts Gardens,22.4,New York City
BK 11,Bensonhurst,23.1,New York City
BK 12,Borough Park,23.8,New York City
BK 13,Coney Island,24.1,New York City
BK 16,Brownsville,28.8,New York City
MN 03,Chinatown,24.2,New York City
MN 03,Lower East Side,24.2,New York City
MN 09,Morningside Heights,25.3,New York City
MN 09,Hamilton,25.3,New York City
MN 10,Central Harlem,28.4,New York City
MN 11,East Harlem,31.2,New York City
MN 12,Washington Heights,21.0,New York City
MN 12,Inwood,21.0,New York City
QN 14,Rockaway,23.8,New York City
QN 14,Broad Channel,23.8,New York City
